Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
1,C,Tyler Flowers,33,85,310,271,36,62,11,3,11,34,0,0,31,105,0.229,0.319,0.413,0.733,86,112,8,6,0,2,3,ATL
2,1B,Freddie Freeman,29,158,692,597,113,176,34,2,38,121,6,3,87,127,0.295,0.389,0.549,0.938,136,328,17,6,0,2,11,ATL
3,2B,Ozzie Albies,22,160,702,640,102,189,43,8,24,86,15,4,54,112,0.295,0.352,0.5,0.852,114,320,2,4,0,4,6,ATL
4,SS,Dansby Swanson,25,127,545,483,77,121,26,3,17,65,10,5,51,124,0.251,0.325,0.422,0.748,89,204,7,5,1,5,2,ATL
5,3B,Josh Donaldson,33,155,659,549,96,142,33,0,37,94,4,2,100,155,0.259,0.379,0.521,0.9,127,286,13,8,0,2,2,ATL
6,LF,Austin Riley,22,80,297,274,41,62,11,1,18,49,0,2,16,108,0.226,0.279,0.471,0.75,86,129,4,5,0,2,3,ATL
7,CF,Ronald Acuna Jr.,21,156,715,626,127,175,22,2,41,101,37,9,76,188,0.28,0.365,0.518,0.883,122,324,8,9,0,1,4,ATL
8,RF,Nick Markakis,35,116,469,414,61,118,25,2,9,62,2,0,47,59,0.285,0.356,0.42,0.776,98,174,11,2,0,6,1,ATL
9,C,Brian McCann,35,85,316,277,28,69,9,0,12,45,0,0,31,53,0.249,0.323,0.412,0.734,86,114,10,2,0,6,1,ATL
10,IF,Johan Camargo,25,98,248,232,31,54,12,1,7,32,1,0,15,43,0.233,0.279,0.384,0.663,67,89,5,0,1,0,2,ATL
11,RF,Matthew Joyce,34,129,238,200,32,59,10,0,7,23,0,0,38,45,0.295,0.408,0.45,0.858,120,90,3,0,0,0,0,ATL
12,CF,Ender Inciarte,28,65,230,199,30,49,11,2,5,24,7,1,26,41,0.246,0.343,0.397,0.74,89,79,1,4,0,1,2,ATL
13,UT,Charlie Culberson,30,108,144,135,14,35,5,2,5,20,0,1,6,44,0.259,0.294,0.437,0.731,83,59,5,1,1,1,0,ATL
14,LF,Adam Duvall,30,41,130,120,17,32,4,1,10,19,0,0,7,39,0.267,0.315,0.567,0.882,118,68,0,2,0,1,0,ATL
15,LF,Rafael Ortega,28,34,96,88,7,18,3,0,2,10,3,0,8,22,0.205,0.271,0.307,0.578,48,27,2,0,0,0,0,ATL
16,SS,Adeiny Hechavarria,30,24,70,61,14,20,5,1,4,15,0,0,6,15,0.328,0.4,0.639,1.039,159,39,1,2,0,1,0,ATL
17,CF,Billy Hamilton,28,26,48,41,9,11,2,0,0,3,4,1,7,13,0.268,0.375,0.317,0.692,81,13,0,0,0,0,1,ATL
18,UT,Francisco Cervelli,33,14,37,32,4,9,5,1,2,7,0,0,4,10,0.281,0.378,0.688,1.066,163,22,3,1,0,0,0,ATL
19,C,Alex Jackson,23,4,15,13,0,0,0,0,0,0,0,0,1,5,0,0.133,0,0.133,-60,0,1,1,0,0,1,ATL
20,C,John Ryan Murphy,28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,ATL
