Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Mike Soroka,21,13,4,0.765,2.68,29,29,0,0,0,0,174.2,153,56,52,14,41,1,142,7,0,3,701,169,3.45,1.111,7.9,0.7,2.1,7.3,3.46
2,SP,Julio Teheran,28,10,11,0.476,3.81,33,33,0,0,0,0,174.2,148,81,74,22,83,3,162,14,1,5,754,119,4.66,1.323,7.6,1.1,4.3,8.3,1.95
3,SP,Max Fried*,25,17,6,0.739,4.02,33,30,1,1,0,0,165.2,174,80,74,21,47,3,173,5,1,11,702,113,3.72,1.334,9.5,1.1,2.6,9.4,3.68
4,SP,Mike Foltynewicz,27,8,6,0.571,4.54,21,21,0,0,0,0,117,109,65,59,23,37,2,105,2,0,5,491,100,4.97,1.248,8.4,1.8,2.8,8.1,2.84
5,SP,Dallas Keuchel*,31,8,8,0.5,3.75,19,19,0,0,0,0,112.2,115,50,47,16,39,1,91,9,0,6,487,121,4.72,1.367,9.2,1.3,3.1,7.3,2.33
6,SP,Kevin Gausman,28,3,7,0.3,6.19,16,16,0,0,0,0,80,92,60,55,12,27,2,85,4,0,2,360,73,4.2,1.488,10.4,1.4,3,9.6,3.15
7,CL,Luke Jackson,27,9,2,0.818,3.84,70,0,35,0,0,18,72.2,76,34,31,10,26,4,106,2,0,3,315,118,3.24,1.404,9.4,1.2,3.2,13.1,4.08
8,RP,Josh Tomlin,34,2,1,0.667,3.74,51,1,21,0,0,2,79.1,82,35,33,14,7,0,51,0,0,2,320,121,4.49,1.122,9.3,1.6,0.8,5.8,7.29
9,RP,Sean Newcomb*,26,6,3,0.667,3.16,55,4,4,0,0,1,68.1,61,28,24,8,29,1,65,3,0,4,293,144,4.24,1.317,8,1.1,3.8,8.6,2.24
10,RP,Anthony Swarzak,33,1,2,0.333,4.31,44,0,1,0,0,1,39.2,38,19,19,6,19,2,35,0,0,1,170,106,4.85,1.437,8.6,1.4,4.3,7.9,1.84
11,RP,Jerry Blevins*,35,1,0,1,3.9,45,0,12,0,0,1,32.1,25,15,14,5,16,2,37,2,0,2,141,117,4.61,1.268,7,1.4,4.5,10.3,2.31
12,,Touki Toussaint,23,4,0,1,5.62,24,1,3,0,0,0,41.2,44,28,26,5,26,2,45,7,0,6,198,81,4.99,1.68,9.5,1.1,5.6,9.7,1.73
13,,Jacob Webb,25,4,0,1,1.39,36,0,12,0,0,2,32.1,24,10,5,4,12,0,28,1,0,3,131,329,4.3,1.113,6.7,1.1,3.3,7.8,2.33
14,,A.J. Minter*,25,3,4,0.429,7.06,36,0,12,0,0,5,29.1,36,23,23,3,23,5,35,1,0,5,147,65,4.61,2.011,11,0.9,7.1,10.7,1.52
15,,Chad Sobotka,25,0,0,,6.21,32,0,5,0,0,0,29,28,22,20,6,19,0,38,3,1,3,134,74,5.56,1.621,8.7,1.9,5.9,11.8,2
16,,Shane Greene,30,0,1,0,4.01,27,0,5,0,0,1,24.2,25,11,11,3,5,0,21,2,0,0,101,114,3.94,1.216,9.1,1.1,1.8,7.7,4.2
17,,Dan Winkler,29,3,1,0.75,4.98,27,0,4,0,0,0,21.2,18,14,12,5,11,0,22,1,0,1,93,92,5.84,1.338,7.5,2.1,4.6,9.1,2
18,,Mark Melancon,34,1,0,1,3.86,23,0,18,0,0,11,21,22,9,9,1,2,0,24,0,0,1,89,119,1.83,1.143,9.4,0.4,0.9,10.3,12
19,,Bryse Wilson,21,1,1,0.5,7.2,6,4,1,0,0,0,20,26,18,16,5,10,1,16,0,0,1,93,64,6.36,1.8,11.7,2.3,4.5,7.2,1.6
20,,Kyle Wright,23,0,3,0,8.69,7,4,2,0,0,0,19.2,24,19,19,4,13,1,18,1,0,2,93,53,6.16,1.881,11,1.8,5.9,8.2,1.38
21,,Chris Martin,33,1,1,0.5,4.08,20,0,5,0,0,0,17.2,17,10,8,1,1,0,22,0,0,0,69,113,1.63,1.019,8.7,0.5,0.5,11.2,22
22,,Wes Parsons,26,1,2,0.333,3.52,17,0,3,0,0,0,15.1,11,7,6,2,13,0,12,1,0,0,64,131,6.08,1.565,6.5,1.2,7.6,7,0.92
23,,Grant Dayton*,31,0,1,0,3,14,0,4,0,0,0,12,12,5,4,4,4,0,14,0,0,0,51,155,6.21,1.333,9,3,3,10.5,3.5
24,,Jesse Biddle*,27,0,1,0,5.4,15,0,1,0,0,0,11.2,18,11,7,1,10,1,11,0,0,3,64,86,5.01,2.4,13.9,0.8,7.7,8.5,1.1
25,,Jeremy Walker,24,0,0,,1.93,6,0,3,0,0,0,9.1,9,2,2,0,4,0,6,0,0,0,38,243,3.21,1.393,8.7,0,3.9,5.8,1.5
26,,Shane Carle,27,0,0,,9.64,6,0,0,0,0,0,9.1,11,10,10,3,9,2,6,3,0,0,49,49,9.96,2.143,10.6,2.9,8.7,5.8,0.67
27,,Darren O'Day,36,0,0,,1.69,8,0,0,0,0,0,5.1,3,1,1,0,1,0,6,1,0,0,21,285,2.09,0.75,5.1,0,1.7,10.1,6
28,,Jonny Venters*,34,0,0,,17.36,9,0,2,0,0,1,4.2,9,13,9,3,8,0,7,0,0,0,31,28,13.71,3.643,17.4,5.8,15.4,13.5,0.88
29,,Arodys Vizcaino,28,1,0,1,2.25,4,0,4,0,0,1,4,3,1,1,1,3,0,6,0,0,0,17,218,5.71,1.5,6.8,2.3,6.8,13.5,2
30,,Huascar Ynoa,21,0,0,,18,2,0,1,0,0,0,3,6,6,6,1,1,0,3,0,0,0,16,28,6.55,2.333,18,3,3,9,3
31,,Charlie Culberson,30,0,0,,0,2,0,2,0,0,0,2,2,0,0,0,2,0,1,0,0,1,10,,5.21,2,9,0,9,4.5,0.5
,,Team Totals,27.1,97,65,0.599,4.19,162,162,161,1,0,44,1450.2,1421,743,675,203,548,33,1393,69,3,70,6243,109,4.39,1.357,8.8,1.3,3.4,8.6,2.54
,,Rank in 15 NL teams,,2,14,,5,,,,5,8,6,6,12,7,5,5,11,,11,,,,,,,,,,,,
