Name,Age,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,HOU
Bryan Abreu,22,8.2,,7,32,29,1,4,1,0,0,1,0,3,13,0.138,0.219,0.172,0.391,0.25,5,1,0,0,0,0,0,HOU
Rogelio Armenteros,25,18,,5,75,70,9,17,2,0,1,0,0,5,18,0.243,0.293,0.314,0.608,0.314,22,1,0,0,0,0,0,HOU
Joe Biagini,29,14.2,,13,69,60,13,21,2,0,6,3,0,9,10,0.35,0.435,0.683,1.118,0.341,41,6,0,0,0,0,1,HOU
Gerrit Cole,28,212.1,,33,817,762,66,142,30,1,29,11,5,48,326,0.186,0.237,0.343,0.579,0.276,261,7,3,1,3,0,5,HOU
Chris Devenski,28,69,,61,298,270,39,69,13,3,13,13,2,21,72,0.256,0.313,0.47,0.784,0.298,127,1,3,1,3,0,1,HOU
Zack Greinke,35,62.2,,10,248,236,25,58,11,0,6,1,0,9,52,0.246,0.275,0.369,0.644,0.291,87,10,1,1,1,0,4,HOU
Reymin Guduan,27,5.1,,7,27,22,7,8,1,0,3,0,0,4,6,0.364,0.444,0.818,1.263,0.357,18,0,0,0,1,0,0,HOU
Will Harris,34,60,,68,229,214,14,42,3,0,6,0,1,14,62,0.196,0.246,0.294,0.54,0.247,63,7,0,1,0,0,2,HOU
Josh James,26,61.1,,49,266,227,34,46,7,1,10,8,2,35,100,0.203,0.32,0.374,0.694,0.308,85,1,4,0,0,0,1,HOU
Corbin Martin,23,19.1,,5,92,80,14,23,5,0,8,1,0,12,19,0.288,0.38,0.65,1.03,0.283,52,0,0,0,0,0,0,HOU
Collin McHugh,32,74.2,,35,317,280,41,62,19,2,12,3,0,30,82,0.221,0.301,0.432,0.733,0.265,121,3,3,0,3,0,0,HOU
Wade Miley,32,167.1,,33,720,646,83,164,25,2,23,3,2,61,140,0.254,0.321,0.406,0.726,0.289,262,13,5,2,5,0,5,HOU
Roberto Osuna,24,65,,66,253,237,20,45,5,1,8,1,0,12,73,0.19,0.234,0.321,0.555,0.236,76,2,2,1,1,0,1,HOU
Brad Peacock,31,91.2,,23,383,344,43,78,20,2,15,5,1,31,96,0.227,0.298,0.427,0.725,0.267,147,5,5,0,3,0,2,HOU
Cionel Perez,23,9,,5,40,38,10,11,2,0,3,0,0,2,7,0.289,0.325,0.579,0.904,0.286,22,0,0,0,0,0,0,HOU
Ryan Pressly,30,54.1,,55,211,197,15,37,6,0,6,2,0,12,72,0.188,0.233,0.31,0.543,0.258,61,1,0,0,1,0,0,HOU
Brady Rodgers,28,5,,3,25,22,9,7,1,0,4,0,0,3,4,0.318,0.4,0.909,1.309,0.214,20,0,0,0,0,0,0,HOU
Hector Rondon,31,60.2,,62,257,231,25,56,14,1,10,5,1,20,48,0.242,0.313,0.442,0.754,0.264,102,5,4,1,1,0,3,HOU
Aaron Sanchez,26,18.2,,4,81,70,10,14,5,0,5,1,0,9,16,0.2,0.296,0.486,0.782,0.18,34,1,1,0,1,0,1,HOU
Joe Smith,35,25,,28,96,91,6,19,4,0,2,2,0,5,22,0.209,0.25,0.319,0.569,0.254,29,3,0,0,0,0,1,HOU
Cy Sneed,26,21.1,,8,93,87,13,26,5,0,5,0,0,5,23,0.299,0.337,0.529,0.866,0.356,46,1,0,1,0,0,0,HOU
Max Stassi,28,0.1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOU
Jose Urquidy,24,41,,9,167,158,18,38,8,0,6,0,0,7,40,0.241,0.273,0.405,0.678,0.286,64,3,0,2,0,0,0,HOU
Framber Valdez,25,70.2,,26,329,277,51,74,13,1,9,6,0,44,68,0.267,0.371,0.419,0.79,0.319,116,5,4,0,4,0,2,HOU
Justin Verlander,36,223,,34,847,796,66,137,28,7,36,9,3,42,300,0.172,0.219,0.361,0.579,0.219,287,7,6,0,2,0,5,HOU
Tyler White,28,3.1,,4,22,16,8,7,3,0,4,0,0,5,2,0.438,0.545,1.375,1.92,0.273,22,0,0,0,1,0,0,HOU
