Name,Age,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,LAD
Scott Alexander*\alexasc02,29,17.1,,28,76,68,7,17,3,1,2,0,0,7,9,0.25,0.329,0.412,0.741,0.263,28,3,1,0,0,2,2,LAD
Pedro Baez\baezpe01,31,69.2,,71,276,247,30,43,8,1,6,5,1,23,69,0.174,0.255,0.287,0.543,0.215,71,7,4,2,0,1,3,LAD
Walker Buehler\buehlwa01,24,182.1,,30,737,685,77,153,29,5,20,8,1,37,215,0.223,0.268,0.368,0.636,0.292,252,8,7,2,6,0,7,LAD
JT Chargois\chargjt01,28,21.1,,21,88,77,16,21,4,1,4,4,0,5,28,0.273,0.318,0.506,0.825,0.347,39,3,2,0,4,2,0,LAD
Caleb Ferguson*\ferguca01,22,44.2,,46,204,167,26,39,10,0,7,2,0,27,54,0.234,0.355,0.419,0.774,0.294,70,2,6,1,3,2,1,LAD
Dylan Floro\florody01,28,46.2,,50,201,182,25,46,8,1,4,2,0,14,42,0.253,0.312,0.374,0.685,0.307,68,3,2,2,1,5,2,LAD
Yimi Garcia\garciyi01,28,62.1,,64,247,225,28,40,9,1,15,2,0,14,66,0.178,0.244,0.427,0.671,0.172,96,1,6,1,1,2,2,LAD
Tony Gonsolin\gonsoto01,25,40,,11,163,146,15,26,9,0,4,5,1,15,37,0.178,0.258,0.322,0.58,0.208,47,0,1,0,1,0,3,LAD
Rich Hill*\hillri01,39,58.2,,13,242,215,20,48,7,0,10,3,2,18,72,0.223,0.294,0.395,0.689,0.284,85,5,4,4,1,2,2,LAD
Kenley Jansen\janseke01,31,63,,62,263,240,28,51,12,1,9,13,0,16,80,0.213,0.27,0.383,0.653,0.273,92,3,4,0,3,0,6,LAD
Joe Kelly\kellyjo05,31,51.1,,55,226,201,31,49,10,0,6,2,0,22,62,0.244,0.327,0.383,0.711,0.323,77,4,3,0,0,2,4,LAD
Clayton Kershaw*\kershcl01,31,178.1,,29,706,654,63,145,23,3,28,3,3,41,189,0.222,0.269,0.394,0.664,0.267,258,17,2,6,1,0,5,LAD
Adam Kolarek*\kolarad01,30,11.2,,26,45,43,3,9,1,0,1,0,0,2,9,0.209,0.244,0.302,0.547,0.242,13,2,0,0,0,0,1,LAD
Kenta Maeda\maedake01,31,153.2,,37,624,564,70,114,21,4,22,7,1,51,169,0.202,0.272,0.371,0.642,0.245,209,7,4,2,3,1,4,LAD
Russell Martin\martiru01,36,4,,4,13,13,0,2,1,0,0,0,0,0,2,0.154,0.154,0.231,0.385,0.182,3,1,0,0,0,0,0,LAD
Dustin May\maydu01,21,34.2,,14,141,132,17,33,6,0,2,0,1,5,32,0.25,0.298,0.341,0.639,0.316,45,4,4,0,0,0,1,LAD
Zac Rosscup*\rosscza01,31,3,,7,17,14,3,6,1,0,1,0,0,3,4,0.429,0.529,0.714,1.244,0.556,10,1,0,0,0,0,0,LAD
Hyun-Jin Ryu*\ryuhy01,32,182.2,,29,723,685,53,160,35,0,17,1,1,24,163,0.234,0.263,0.359,0.622,0.282,246,17,4,8,2,2,10,LAD
Casey Sadler\sadleca02,28,27,,24,115,101,9,25,2,1,3,0,1,8,20,0.248,0.319,0.376,0.695,0.278,38,4,3,2,1,2,3,LAD
Dennis Santana\santade01,23,5,,3,27,20,4,6,0,1,1,0,0,4,6,0.3,0.444,0.55,0.994,0.357,11,0,2,0,1,0,0,LAD
Josh Sborz\sborzjo01,25,9,,7,40,35,8,10,4,0,2,0,0,4,7,0.286,0.35,0.571,0.921,0.296,20,1,0,0,1,0,0,LAD
Jaime Schultz\schulja02,28,5,,4,22,19,4,6,2,0,1,0,0,3,3,0.316,0.409,0.579,0.988,0.333,11,2,0,0,0,0,0,LAD
Brock Stewart\stewabr01,27,4,,3,21,17,8,9,2,0,2,0,0,2,3,0.529,0.524,1,1.524,0.5,17,1,0,0,2,0,0,LAD
Ross Stripling\stripro01,29,90.2,,32,370,344,40,84,23,1,11,2,3,20,93,0.244,0.286,0.413,0.699,0.299,142,5,2,0,4,0,2,LAD
Julio Urias*\uriasju01,22,79.2,,37,326,293,28,59,9,3,7,4,2,27,85,0.201,0.279,0.324,0.603,0.257,95,5,5,0,1,1,4,LAD
League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD
Team Total,28.9,,,707,5913,5387,613,1201,239,24,185,63,17,392,1519,0.223,0.282,0.379,0.661,0.273,2043,106,66,30,36,24,62,LAD
