Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
1,C,Mitch Garver\garvemi01,28,93,359,311,70,85,16,1,31,67,0,0,41,87,0.273,0.365,0.63,0.995,156,196,5,5,0,2,0,MIN
2,1B,C.J. Cron\croncj01,29,125,499,458,51,116,24,0,25,78,0,0,29,107,0.253,0.311,0.469,0.78,103,215,13,10,0,2,3,MIN
3,2B,Jonathan Schoop\schoojo01,27,121,464,433,61,111,23,1,23,59,1,1,20,116,0.256,0.304,0.473,0.777,102,205,13,10,0,1,1,MIN
4,SS,Jorge Polanco#\polanjo01,25,153,704,631,107,186,40,7,22,79,4,3,60,116,0.295,0.356,0.485,0.841,120,306,11,4,2,7,2,MIN
5,3B,Miguel Sano\sanomi01,26,105,439,380,76,94,19,2,34,79,0,1,55,159,0.247,0.346,0.576,0.923,138,219,5,3,0,1,0,MIN
6,LF,Eddie Rosario*\rosared01,27,137,590,562,91,155,28,1,32,109,3,1,22,86,0.276,0.3,0.5,0.8,106,281,10,0,0,6,2,MIN
7,CF,Byron Buxton\buxtoby01,25,87,295,271,48,71,30,4,10,46,14,3,19,68,0.262,0.314,0.513,0.827,114,139,3,2,2,1,1,MIN
8,RF,Max Kepler*\keplema01,26,134,596,524,98,132,32,0,36,90,1,5,60,99,0.252,0.336,0.519,0.855,122,272,5,8,0,4,0,MIN
9,DH,Nelson Cruz\cruzne02,38,120,521,454,81,141,26,0,41,108,0,1,56,131,0.311,0.392,0.639,1.031,166,290,14,7,0,3,8,MIN
10,UT,Marwin Gonzalez#\gonzama01,30,114,463,425,52,112,19,0,15,55,1,0,31,98,0.264,0.322,0.414,0.736,94,176,7,6,0,1,2,MIN
11,UT,Luis Arraez*\arraelu01,22,92,366,326,54,109,20,1,4,28,2,2,36,29,0.334,0.399,0.439,0.838,123,143,2,1,0,3,1,MIN
12,C,Jason Castro*\castrja01,32,79,275,237,39,55,9,0,13,30,0,0,33,88,0.232,0.332,0.435,0.767,101,103,0,3,1,1,0,MIN
13,IF,Ehire Adrianza#\adriaeh01,29,83,236,202,34,55,8,3,5,22,0,2,20,40,0.272,0.349,0.416,0.765,102,84,2,6,2,4,1,MIN
14,OF,Jake Cave*\caveja01,26,72,228,198,28,51,11,2,8,25,0,0,21,71,0.258,0.351,0.455,0.805,112,90,5,8,0,1,0,MIN
15,UT,Willians Astudillo\astudwi01,27,58,204,190,28,51,9,0,4,21,0,0,5,8,0.268,0.299,0.379,0.678,79,72,6,5,0,4,0,MIN
16,UT,LaMonte Wade Jr*\wadela01,25,26,69,56,10,11,2,1,2,5,0,1,11,9,0.196,0.348,0.375,0.723,93,21,0,2,0,0,0,MIN
17,OF,Ryan LaMarre\lamarry01,30,14,26,23,3,5,0,0,2,3,1,1,3,5,0.217,0.308,0.478,0.786,104,11,0,0,0,0,0,MIN
18,IF,Ronald Torreyes\torrero01,26,7,17,16,3,3,0,0,0,1,1,0,0,3,0.188,0.235,0.188,0.423,15,3,0,1,0,0,0,MIN
19,OF,Ian Miller*\milleia01,27,12,17,17,2,3,1,0,0,1,0,0,0,3,0.176,0.176,0.235,0.412,8,4,0,0,0,0,0,MIN
20,1B,Tyler Austin\austity01,27,2,5,4,1,1,1,0,0,0,0,0,1,3,0.25,0.4,0.5,0.9,137,2,0,0,0,0,0,MIN
21,P,Jose Berrios\berrijo01,25,2,5,4,1,0,0,0,0,0,0,0,1,4,0,0.2,0,0.2,-38,0,0,0,0,0,0,MIN
