Name,Age,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,MIN
Austin Adams,32,2.2,,2,15,12,5,4,0,0,2,0,0,3,5,0.333,0.467,0.833,1.3,0.4,10,0,0,0,0,0,0,MIN
Ehire Adrianza,29,1,,1,8,8,3,5,2,1,0,0,0,0,1,0.625,0.625,1.125,1.75,0.714,9,0,0,0,0,0,0,MIN
Jorge Alcala,23,1.2,,2,7,6,0,1,0,0,0,0,0,1,1,0.167,0.286,0.167,0.452,0.2,1,0,0,0,0,0,0,MIN
Jose Berrios,25,200.1,,32,842,774,94,194,35,3,26,12,1,51,195,0.251,0.302,0.404,0.707,0.301,313,13,9,2,6,0,11,MIN
Chase De Jong,25,1,,1,9,6,4,3,0,0,1,0,0,3,0,0.5,0.667,1,1.667,0.4,6,0,0,0,0,0,0,MIN
Randy Dobnak,24,28.1,,9,118,110,9,27,3,0,1,4,1,5,23,0.245,0.297,0.3,0.597,0.302,33,4,3,0,0,0,3,MIN
Tyler Duffey,28,57.2,,58,238,219,23,44,6,0,8,0,1,14,82,0.201,0.257,0.338,0.595,0.277,74,0,3,1,1,1,4,MIN
Sam Dyson,31,11.1,,12,53,47,9,14,2,0,3,0,0,6,8,0.298,0.377,0.532,0.909,0.306,25,1,0,0,0,0,0,MIN
Ryan Eades,27,3.2,,2,16,14,0,4,1,0,0,2,0,2,5,0.286,0.375,0.357,0.732,0.444,5,0,0,0,0,0,0,MIN
Kyle Gibson,31,160,,34,706,637,99,175,30,4,23,6,3,56,160,0.275,0.339,0.443,0.782,0.333,282,17,7,3,2,0,13,MIN
Brusdar Graterol,20,9.2,,10,40,36,5,10,1,0,1,0,0,2,10,0.278,0.325,0.389,0.714,0.346,14,1,1,0,1,1,0,MIN
Ryne Harper,30,54.1,,61,225,210,25,54,11,1,7,4,1,10,50,0.257,0.29,0.419,0.709,0.301,88,2,1,0,3,0,1,MIN
Trevor Hildenberger,28,16.1,,22,88,76,19,30,8,0,2,4,0,7,15,0.395,0.455,0.579,1.033,0.459,44,0,3,0,2,0,0,MIN
Zack Littell,23,37,,29,146,136,12,34,8,1,4,2,0,9,32,0.25,0.297,0.412,0.708,0.3,56,4,0,1,0,1,0,MIN
Matt Magill,29,28.1,,28,133,114,21,30,10,1,4,0,0,15,36,0.263,0.356,0.474,0.83,0.347,54,0,2,1,1,1,1,MIN
Trevor May,29,64.1,,65,266,234,24,43,7,0,8,6,0,26,79,0.184,0.271,0.316,0.587,0.233,74,2,3,0,3,1,3,MIN
Adalberto Mejia,26,15.1,,13,71,58,16,16,4,0,3,0,0,12,15,0.276,0.394,0.5,0.894,0.317,29,0,0,0,1,0,0,MIN
Mike Morin,28,22.2,,23,92,88,11,20,5,0,3,0,0,2,11,0.227,0.261,0.386,0.647,0.23,34,2,2,0,0,0,2,MIN
Jake Odorizzi,29,159,,30,658,593,65,139,29,2,16,1,3,53,178,0.234,0.3,0.371,0.671,0.305,220,9,4,4,4,0,4,MIN
Blake Parker,34,36.1,,37,157,138,18,34,6,0,7,0,0,16,34,0.246,0.331,0.442,0.773,0.276,61,3,2,0,1,0,2,MIN
Martin Perez,28,165.1,,32,737,659,104,184,36,0,23,13,2,67,135,0.279,0.346,0.439,0.785,0.318,289,12,3,3,5,1,4,MIN
Michael Pineda,30,146,,26,600,558,68,141,26,2,23,8,1,28,140,0.253,0.291,0.43,0.721,0.294,240,10,5,2,7,1,4,MIN
Sean Poppen,25,8.1,,4,36,31,7,10,3,1,1,0,0,5,9,0.323,0.417,0.581,0.997,0.429,18,3,0,0,0,0,0,MIN
Taylor Rogers,28,69,,60,278,258,20,58,9,0,8,0,0,11,90,0.225,0.273,0.353,0.625,0.313,91,6,6,3,0,2,4,MIN
Fernando Romero,24,14,,15,72,60,12,19,4,0,2,0,0,11,18,0.317,0.431,0.483,0.914,0.425,29,2,1,0,0,1,1,MIN
Sergio Romo,36,22.2,,27,93,86,9,17,3,1,3,2,0,4,27,0.198,0.247,0.36,0.608,0.246,31,0,2,0,1,0,2,MIN
Devin Smeltzer,23,49,,11,202,189,23,50,8,3,8,1,1,12,38,0.265,0.312,0.466,0.777,0.294,88,4,1,0,0,0,1,MIN
Cody Stashak,25,25,,18,104,101,9,29,8,1,3,0,0,1,25,0.287,0.298,0.475,0.773,0.351,48,2,1,0,1,0,0,MIN
Kohl Stewart,24,25.1,,9,109,100,18,29,6,1,5,5,1,8,10,0.29,0.349,0.52,0.869,0.282,52,5,1,0,0,0,2,MIN
Lewis Thorpe,23,27.2,,12,124,113,19,38,11,1,3,1,1,10,31,0.336,0.387,0.531,0.918,0.438,60,5,0,0,1,0,0,MIN
Andrew Vasquez,25,0,,1,3,0,3,0,0,0,0,0,0,2,0,,1,,,,0,0,1,0,0,0,0,MIN
