Rk,Name,Age,Tm,PA,H,2B,3B,HR,BB,HBP
4,Daniel Zamora*\zamorda01,26,NYM,0,0,0,0,0,0,0
5,Alex Young*\youngal01,25,ARI,25,1,0,0,0,0,0
6,Kirby Yates*\yateski01,32,SDP,0,0,0,0,0,0,0
7,Eric Yardley\yardler01,28,SDP,0,0,0,0,0,0,0
8,Jordan Yamamoto\yamamjo01,23,MIA,26,1,0,0,0,1,0
9,Brandon Woodruff*\woodrbr01,26,MIL,49,12,4,0,0,1,0
10,Matt Wisler\wislema01,26,SDP,1,0,0,0,0,0,0
11,Dan Winkler\winklda01,29,ATL,1,0,0,0,0,0,0
12,Trey Wingenter\wingetr01,25,SDP,0,0,0,0,0,0,0
13,Justin Wilson*\wilsoju10,31,NYM,0,0,0,0,0,0,0
14,Alex Wilson\wilsoal01,32,MIL,0,0,0,0,0,0,0
15,Trevor Williams\willitr01,27,PIT,44,6,0,0,0,2,0
16,Taylor Williams#\willita01,27,MIL,1,0,0,0,0,0,0
17,Devin Williams\willide03,24,MIL,1,0,0,0,0,0,0
18,Brad Wieck*\wieckbr01,27,TOT,2,0,0,0,0,0,0
19,Rowan Wick*\wickro01,26,CHC,0,0,0,0,0,0,0
20,Zack Wheeler*\wheelza01,29,NYM,64,12,2,0,1,2,2
21,Allen Webster\webstal01,29,CHC,0,0,0,0,0,0,0
22,Tyler Webb*\webbty01,28,STL,0,0,0,0,0,0,0
23,Jacob Webb\webbja01,25,ATL,1,0,0,0,0,0,0
24,Luke Weaver\weavelu01,25,ARI,21,2,0,0,1,0,0
25,Tony Watson*\watsoto01,34,SFG,0,0,0,0,0,0,0
26,Adam Warren\warread01,31,SDP,0,0,0,0,0,0,0
27,Adam Wainwright\wainwad01,37,STL,59,8,3,0,0,2,0
28,Michael Wacha\wachami01,27,STL,39,6,1,0,0,0,0
29,Nick Vincent\vinceni01,32,TOT,3,0,0,0,0,0,0
30,Jonny Venters*\ventejo01,34,TOT,0,0,0,0,0,0,0
31,Felipe Vazquez*\riverfe01,27,PIT,2,0,0,0,0,0,0
32,Jason Vargas*\vargaja01,36,TOT,45,3,0,0,0,0,0
33,Julio Urias*\uriasju01,22,LAD,18,3,0,0,0,1,0
34,Jose Urena\urenajo01,27,MIA,22,0,0,0,0,1,0
35,Duane Underwood Jr.\underdu01,24,CHC,1,0,0,0,0,0,0
36,Touki Toussaint\toussto01,23,ATL,10,0,0,0,0,0,0
37,Josh Tomlin\tomlijo01,34,ATL,6,0,0,0,0,0,0
38,Jesus Tinoco\tinocje01,24,COL,6,1,0,0,0,0,0
39,Julio Teheran\teherju01,28,ATL,60,6,1,0,0,0,0
40,Noah Syndergaard*\syndeno01,26,NYM,69,6,1,0,2,3,0
41,Anthony Swarzak\swarzan01,33,ATL,0,0,0,0,0,0,0
42,Wander Suero\suerowa01,27,WSN,1,0,0,0,0,0,0
43,Ranger Suarez*\suarera01,23,PHI,5,1,0,0,0,0,0
44,Andrew Suarez*\suarean01,26,SFG,3,0,0,0,0,0,0
45,Pedro Strop\stroppe01,34,CHC,0,0,0,0,0,0,0
46,Marcus Stroman\stromma01,28,NYM,23,1,0,0,0,0,0
47,Ross Stripling\stripro01,29,LAD,24,3,0,0,0,2,0
48,Hunter Strickland\strichu01,30,WSN,0,0,0,0,0,0,0
49,Chris Stratton\stratch01,28,PIT,2,0,0,0,0,0,0
50,Stephen Strasburg\strasst01,30,WSN,80,12,1,0,1,3,0
51,Matt Strahm\strahma01,27,SDP,27,6,2,0,0,2,0
52,Robert Stock*\stockro01,29,SDP,0,0,0,0,0,0,0
53,Robert Stephenson\stephro01,26,CIN,1,0,0,0,0,0,0
54,Drew Steckenrider\steckdr01,28,MIA,0,0,0,0,0,0,0
55,Ryne Stanek\stanery01,27,MIA,0,0,0,0,0,0,0
56,Craig Stammen\stammcr01,35,SDP,1,0,0,0,0,0,0
57,Mike Soroka\sorokmi01,21,ATL,63,4,0,0,0,2,2
58,Chad Sobotka\sobotch01,25,ATL,2,0,0,0,0,0,0
59,Drew Smyly*\smylydr01,30,PHI,19,0,0,0,0,1,0
60,Will Smith\smithwi04,29,SFG,2,1,0,0,0,0,0
61,Caleb Smith\smithca03,27,MIA,49,10,2,0,0,0,1
62,Burch Smith\smithbu03,29,TOT,1,0,0,0,0,0,0
63,Tony Sipp*\sippto01,35,WSN,0,0,0,0,0,0,0
