Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
1,C,Gary Sanchez,26,106,446,396,62,92,12,1,34,77,0,1,40,125,0.232,0.316,0.525,0.841,119,208,3,9,0,1,3,NYY
2,1B,Luke Voit,28,118,510,429,72,113,21,1,21,62,0,0,71,142,0.263,0.378,0.464,0.842,124,199,12,9,0,1,2,NYY
3,2B,DJ LeMahieu,30,145,655,602,109,197,33,2,26,102,5,2,46,90,0.327,0.375,0.518,0.893,136,312,14,2,1,4,0,NYY
4,SS,Didi Gregorius,29,82,344,324,47,77,14,2,16,61,2,1,17,53,0.238,0.276,0.441,0.718,87,143,5,1,0,2,1,NYY
5,3B,Gio Urshela,27,132,476,442,73,139,34,0,21,74,1,1,25,87,0.314,0.355,0.534,0.889,133,236,13,5,0,4,1,NYY
6,LF,Mike Tauchman,28,87,296,260,46,72,18,1,13,47,6,0,34,71,0.277,0.361,0.504,0.865,128,131,9,1,0,1,0,NYY
7,CF,Brett Gardner,35,141,550,491,86,123,26,7,28,74,10,2,52,108,0.251,0.325,0.503,0.829,117,247,6,4,0,3,0,NYY
8,RF,Aaron Judge,27,102,447,378,75,103,18,1,27,55,3,2,64,141,0.272,0.381,0.54,0.921,143,204,11,3,0,1,4,NYY
9,DH,Edwin Encarnacion,36,44,197,177,33,44,11,0,13,37,0,0,17,48,0.249,0.325,0.531,0.856,123,94,1,3,0,0,1,NYY
10,MI,Gleyber Torres,22,144,604,546,96,152,26,0,38,90,5,2,48,129,0.278,0.337,0.535,0.871,128,292,10,3,1,6,3,NYY
11,OF,Cameron Maybin,32,82,269,239,48,68,17,0,11,32,9,6,30,72,0.285,0.364,0.494,0.858,127,118,5,0,0,0,0,NYY
12,CF,Aaron Hicks,29,59,255,221,41,52,10,0,12,36,1,2,31,72,0.235,0.325,0.443,0.769,103,98,2,0,0,3,0,NYY
13,RF,Clint Frazier,24,69,246,225,31,60,14,0,12,38,1,2,16,70,0.267,0.317,0.489,0.806,111,110,2,2,0,3,1,NYY
14,C,Austin Romine,30,72,240,228,29,64,12,0,8,35,1,1,10,50,0.281,0.31,0.439,0.748,97,100,7,0,1,1,0,NYY
15,1B,Mike Ford,26,50,163,143,30,37,7,0,12,25,0,0,17,28,0.259,0.35,0.559,0.909,137,80,0,3,0,0,2,NYY
16,UT,Tyler Wade,24,43,108,94,16,23,3,1,2,11,7,0,11,28,0.245,0.33,0.362,0.692,86,34,0,1,2,0,0,NYY
17,DH,Kendrys Morales,36,19,75,62,7,11,1,0,1,5,0,0,12,6,0.177,0.32,0.242,0.562,55,15,3,1,0,0,0,NYY
18,OF,Giancarlo Stanton,29,18,72,59,8,17,3,0,3,13,0,0,12,24,0.288,0.403,0.492,0.894,138,29,1,0,0,1,0,NYY
19,MI,Thairo Estrada,23,35,69,64,12,16,3,0,3,12,4,0,3,15,0.25,0.294,0.438,0.732,92,28,1,1,1,0,0,NYY
20,C,Kyle Higashioka,29,18,57,56,8,12,5,0,3,11,0,0,0,26,0.214,0.211,0.464,0.675,72,26,1,0,0,1,0,NYY
21,DH,Miguel Andujar,24,12,49,47,1,6,0,0,0,1,0,0,1,11,0.128,0.143,0.128,0.271,-26,6,4,0,0,1,0,NYY
22,1B,Greg Bird,26,10,41,35,6,6,0,0,1,1,0,0,6,16,0.171,0.293,0.257,0.55,50,9,1,0,0,0,0,NYY
23,2B,Breyvic Valera,27,12,37,32,5,7,1,1,0,3,0,0,4,5,0.219,0.324,0.313,0.637,73,10,0,1,0,0,0,NYY
24,SS,Troy Tulowitzki,34,5,13,11,1,2,1,0,1,1,0,0,2,4,0.182,0.308,0.545,0.853,121,6,1,0,0,0,0,NYY
