Name,Age,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,NYY
Chance Adams,24,25.1,,13,124,111,25,39,12,0,7,0,0,11,23,0.351,0.419,0.649,1.068,0.395,72,2,2,0,0,0,1,NYY
Jake Barrett,27,3.2,,2,19,17,6,6,2,0,2,0,0,2,4,0.353,0.421,0.824,1.245,0.364,14,0,0,0,0,0,0,NYY
Dellin Betances,31,0.2,,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,NYY
Zack Britton,31,61.1,,66,245,209,13,38,6,0,3,1,1,32,53,0.182,0.291,0.254,0.545,0.226,53,11,1,1,2,1,2,NYY
Luis Cessa,27,81,,43,343,305,42,75,13,1,14,4,2,31,75,0.246,0.318,0.433,0.751,0.277,132,9,3,0,4,1,4,NYY
Aroldis Chapman,31,57,,60,235,205,18,38,7,0,3,4,0,25,85,0.185,0.274,0.263,0.537,0.292,54,4,1,0,3,0,2,NYY
Nestor Cortes Jr.,24,66.2,,33,298,267,44,75,9,0,16,0,0,28,69,0.281,0.349,0.494,0.843,0.321,132,5,1,0,2,1,0,NYY
Ryan Dull,29,2.1,,3,15,12,5,5,4,0,0,0,0,3,4,0.417,0.533,0.75,1.283,0.625,9,0,0,0,0,0,0,NYY
Mike Ford,26,2,,1,12,12,5,6,1,0,2,0,0,0,1,0.5,0.5,1.083,1.583,0.444,13,0,0,0,0,0,0,NYY
Cory Gearrin,33,14,,18,61,57,7,17,2,1,2,2,0,4,8,0.298,0.344,0.474,0.818,0.319,27,2,0,0,0,0,0,NYY
Domingo German,26,143,,27,594,548,69,125,27,0,30,1,4,39,153,0.228,0.285,0.442,0.727,0.26,242,6,5,1,1,0,7,NYY
Chad Green,28,69,,54,295,267,35,66,14,2,10,6,2,19,98,0.247,0.308,0.427,0.735,0.346,114,2,6,0,3,0,2,NYY
David Hale,31,37.2,,20,157,148,13,39,12,2,2,0,0,7,23,0.264,0.299,0.412,0.712,0.298,61,3,1,0,1,1,1,NYY
J.A. Happ,36,161.1,,31,678,621,88,160,27,1,34,2,1,49,140,0.258,0.316,0.469,0.785,0.281,291,17,5,0,2,1,2,NYY
Joe Harvey,27,10,,9,48,39,6,11,1,1,1,4,0,7,11,0.282,0.396,0.436,0.832,0.357,17,2,1,0,1,0,0,NYY
Ben Heller,27,7.1,,6,28,24,1,6,1,0,1,0,1,3,9,0.25,0.333,0.417,0.75,0.357,10,2,0,1,0,1,0,NYY
Jonathan Holder,26,41.1,,34,181,168,32,43,7,1,8,2,0,11,46,0.256,0.309,0.452,0.762,0.307,76,1,2,0,0,1,3,NYY
Tommy Kahnle,29,61.1,,72,248,225,27,45,8,1,9,3,0,20,88,0.2,0.27,0.364,0.635,0.279,82,4,2,0,1,0,3,NYY
Mike King,24,2,,1,9,9,1,2,0,0,0,0,0,0,1,0.222,0.222,0.222,0.444,0.25,2,0,0,0,0,0,1,NYY
Brady Lail,25,2.2,,1,10,9,3,2,0,0,1,0,0,1,2,0.222,0.3,0.556,0.856,0.167,5,1,0,0,0,0,0,NYY
Jonathan Loaisiga,24,31.2,,15,139,118,16,31,7,0,6,4,0,16,37,0.263,0.345,0.475,0.82,0.316,56,4,1,0,4,0,0,NYY
Tyler Lyons,31,8.2,,11,34,31,4,7,1,0,3,0,0,2,12,0.226,0.294,0.548,0.843,0.25,17,1,1,0,0,1,0,NYY
Joe Mantiply,28,3,,1,14,12,3,3,0,1,1,0,0,2,2,0.25,0.357,0.667,1.024,0.222,8,0,0,0,0,0,0,NYY
Jordan Montgomery,26,4,,2,19,19,3,7,3,0,1,0,0,0,5,0.368,0.368,0.684,1.053,0.462,13,0,0,0,0,0,0,NYY
Adam Ottavino,33,66.1,,73,283,237,17,47,9,1,5,15,1,40,88,0.198,0.316,0.308,0.624,0.286,73,8,2,0,3,3,2,NYY
James Paxton,30,150.2,,29,633,570,71,138,30,2,23,7,4,55,186,0.242,0.309,0.423,0.732,0.315,241,9,2,2,4,0,4,NYY
Austin Romine,30,1,,1,7,7,3,4,1,0,2,0,0,0,0,0.571,0.571,1.571,2.143,0.4,11,0,0,0,0,0,0,NYY
Adonis Rosa,24,2,,1,7,7,1,1,0,0,1,0,0,0,2,0.143,0.143,0.571,0.714,0,4,0,0,0,0,0,0,NYY
CC Sabathia,38,107.1,,23,468,422,64,112,23,0,27,9,2,39,107,0.265,0.331,0.512,0.843,0.294,216,9,3,2,1,0,5,NYY
Luis Severino,25,12,,3,48,41,2,6,1,0,0,5,0,6,17,0.146,0.271,0.171,0.442,0.25,7,1,1,0,0,0,0,NYY
Masahiro Tanaka,30,182,,32,759,713,95,186,43,4,28,2,5,40,149,0.261,0.3,0.45,0.751,0.293,321,15,2,0,4,0,10,NYY
Stephen Tarpley,26,24.2,,21,120,103,20,34,6,0,6,0,1,15,34,0.33,0.425,0.563,0.988,0.444,58,1,2,0,0,1,0,NYY
