Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
1,C,Josh Phegley,31,106,342,314,44,75,18,0,12,62,0,1,15,63,0.239,0.282,0.411,0.693,85,129,11,6,2,5,0,OAK
2,1B,Matt Olson,25,127,547,483,73,129,26,0,36,91,0,0,51,138,0.267,0.351,0.545,0.896,137,263,11,12,0,1,7,OAK
3,2B,Jurickson Profar,26,139,518,459,65,100,24,2,20,67,9,1,48,75,0.218,0.301,0.41,0.711,90,188,12,8,0,3,2,OAK
4,SS,Marcus Semien,28,162,747,657,123,187,43,7,33,92,10,8,87,102,0.285,0.369,0.522,0.892,138,343,11,2,0,1,2,OAK
5,3B,Matt Chapman,26,156,670,583,102,145,36,3,36,91,1,1,73,147,0.249,0.342,0.506,0.848,126,295,12,11,0,3,0,OAK
6,LF,Robbie Grossman,29,138,482,420,57,101,21,3,6,38,9,4,59,86,0.24,0.334,0.348,0.682,86,146,7,1,0,2,2,OAK
7,CF,Ramon Laureano,24,123,481,434,79,125,29,0,24,67,13,2,27,123,0.288,0.34,0.521,0.86,128,226,7,11,1,8,0,OAK
8,RF,Stephen Piscotty,28,93,393,357,46,89,17,1,13,44,2,0,29,84,0.249,0.309,0.412,0.72,93,147,13,3,1,3,0,OAK
9,DH,Khris Davis,31,133,533,481,61,106,11,0,23,73,0,0,47,146,0.22,0.293,0.387,0.679,82,186,11,3,0,2,3,OAK
10,OF,Mark Canha,30,126,497,410,80,112,16,3,26,58,3,2,67,107,0.273,0.396,0.517,0.913,145,212,10,18,0,2,1,OAK
11,OF,Chad Pinder,27,124,370,341,45,82,21,0,13,47,0,1,20,88,0.24,0.29,0.416,0.706,88,142,11,5,1,3,0,OAK
12,1B,Kendrys Morales,36,34,126,108,9,22,1,1,1,7,0,0,14,20,0.204,0.31,0.259,0.569,58,28,3,3,0,1,0,OAK
13,C,Chris Herrmann,31,30,94,84,9,17,3,0,1,8,0,0,9,29,0.202,0.28,0.274,0.553,52,23,4,0,1,0,0,OAK
14,LF,Seth Brown,26,26,83,75,11,22,8,2,0,13,1,0,7,23,0.293,0.361,0.453,0.815,120,34,2,1,0,0,0,OAK
15,C,Nick Hundley,35,31,73,70,5,14,3,1,2,5,0,1,2,18,0.2,0.233,0.357,0.59,57,25,7,1,0,0,0,OAK
16,IF,Sheldon Neuse,24,25,61,56,3,14,3,0,0,7,0,0,4,19,0.25,0.295,0.304,0.599,64,17,2,0,0,1,0,OAK
17,C,Sean Murphy,24,20,60,53,14,13,5,0,4,8,0,0,6,16,0.245,0.333,0.566,0.899,137,30,3,1,0,0,0,OAK
18,2B,Franklin Barreto,23,23,58,57,6,7,2,0,2,5,1,0,1,23,0.123,0.138,0.263,0.401,5,15,0,0,0,0,0,OAK
19,2B,Corban Joseph,30,11,40,37,4,7,2,0,1,5,0,0,2,5,0.189,0.225,0.324,0.549,46,12,2,0,0,1,0,OAK
20,C,Beau Taylor,29,10,28,23,3,4,0,0,2,2,0,0,4,6,0.174,0.321,0.435,0.756,103,10,0,1,0,0,0,OAK
21,C,Dustin Garneau,31,7,19,17,3,5,2,0,1,7,0,0,2,4,0.294,0.368,0.588,0.957,153,10,0,0,0,0,0,OAK
22,LF,Nick Martini,29,6,13,11,1,1,0,0,1,2,0,0,2,5,0.091,0.231,0.364,0.594,57,4,0,0,0,0,0,OAK
23,OF,Skye Bolt,25,5,11,10,1,1,1,0,0,0,0,0,1,3,0.1,0.182,0.2,0.382,4,2,0,0,0,0,0,OAK
