Name,Age,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,OAK
Brett Anderson,31,176,,31,743,682,80,181,33,2,20,10,8,49,90,0.265,0.317,0.408,0.724,0.28,278,17,4,4,4,2,11,OAK
Tanner Anderson,26,22.1,,5,105,97,16,30,2,0,4,1,1,7,18,0.309,0.356,0.454,0.809,0.347,44,0,0,0,0,1,1,OAK
Homer Bailey,33,73.1,,13,307,287,35,73,8,3,9,3,0,15,68,0.254,0.294,0.397,0.691,0.302,114,5,2,1,2,1,2,OAK
Chris Bassitt,30,144,,28,612,545,66,125,21,3,21,10,2,47,141,0.229,0.303,0.394,0.698,0.268,215,8,13,2,5,0,9,OAK
Paul Blackburn,25,11,,4,57,50,14,19,3,1,3,5,0,4,8,0.38,0.429,0.66,1.089,0.4,33,1,1,1,1,0,1,OAK
Aaron Brooks,29,50.1,,15,215,197,29,49,11,0,12,1,1,14,43,0.249,0.312,0.487,0.799,0.261,96,3,4,0,0,0,2,OAK
Ryan Buchter,32,45.1,,64,198,167,16,42,8,1,8,4,5,23,50,0.251,0.344,0.455,0.799,0.304,76,2,2,3,3,2,1,OAK
Jake Diekman,32,20.1,,28,94,72,11,16,5,0,0,0,1,16,21,0.222,0.376,0.292,0.668,0.302,21,2,3,1,2,1,1,OAK
Ryan Dull,29,9,,7,51,44,13,19,6,0,4,0,0,4,8,0.432,0.48,0.841,1.321,0.455,37,0,1,1,1,0,0,OAK
Marco Estrada,35,23.2,,5,106,95,19,23,3,2,7,0,0,8,11,0.242,0.321,0.537,0.858,0.208,51,1,3,0,0,0,0,OAK
Mike Fiers,34,184.2,,33,754,683,82,166,19,2,30,13,5,53,126,0.243,0.304,0.408,0.712,0.256,279,17,9,4,5,0,3,OAK
Liam Hendriks,30,85,,75,332,304,18,61,16,1,5,1,1,21,124,0.201,0.255,0.309,0.564,0.315,94,5,2,2,3,5,1,OAK
Jesus Luzardo,21,12,,6,46,42,2,5,2,0,1,0,0,3,16,0.119,0.196,0.238,0.434,0.16,10,0,1,0,0,0,1,OAK
Sean Manaea,27,29.2,,5,109,100,4,16,3,0,3,0,1,7,30,0.16,0.229,0.28,0.509,0.194,28,4,2,0,0,0,0,OAK
Nick Martini,29,1,,1,5,3,0,0,0,0,0,0,0,2,1,0,0.4,0,0.4,0,0,0,0,0,0,0,0,OAK
Daniel Mengden,26,59.2,,13,260,232,32,59,16,1,7,2,2,27,42,0.254,0.331,0.422,0.753,0.283,98,3,0,0,1,0,1,OAK
Frankie Montas,26,96,,16,394,365,35,84,23,1,8,2,1,23,103,0.23,0.282,0.364,0.646,0.297,133,10,4,0,2,1,5,OAK
Kendrys Morales,36,1,,1,7,3,1,1,0,0,0,0,0,2,0,0.333,0.571,0.333,0.905,0.25,1,0,1,0,1,0,0,OAK
Yusmeiro Petit,34,83,,80,308,294,25,57,10,3,11,2,1,10,71,0.194,0.218,0.361,0.579,0.214,106,5,0,1,3,0,1,OAK
A.J. Puk,24,11.1,,10,47,42,4,10,1,0,1,2,0,5,13,0.238,0.319,0.333,0.652,0.321,14,2,0,0,0,0,0,OAK
Tanner Roark,32,55,,10,238,219,29,61,13,1,14,4,1,13,50,0.279,0.329,0.539,0.868,0.301,118,4,4,0,1,0,0,OAK
Fernando Rodney,42,14.1,,17,70,58,15,20,2,0,2,4,3,12,14,0.345,0.457,0.483,0.94,0.429,28,2,0,0,0,0,0,OAK
Brian Schlitter,33,9.2,,6,41,37,4,12,3,0,0,0,0,4,6,0.324,0.39,0.405,0.796,0.387,15,4,0,0,0,0,0,OAK
Joakim Soria,35,69,,71,278,252,33,51,6,1,9,1,1,20,79,0.202,0.267,0.341,0.608,0.253,86,5,3,1,2,1,3,OAK
Blake Treinen,31,58.2,,57,266,226,33,58,9,0,9,7,2,37,59,0.257,0.362,0.416,0.778,0.308,94,6,1,1,1,1,3,OAK
Lou Trivino,27,60,,61,269,230,40,61,16,0,7,9,3,31,57,0.265,0.356,0.426,0.782,0.32,98,4,3,2,3,2,4,OAK
Wei-Chung Wang,27,27,,20,110,97,10,22,4,0,4,1,2,11,16,0.227,0.309,0.392,0.701,0.231,38,3,1,0,1,0,0,OAK
J.B. Wendelken,26,32.2,,27,131,118,14,21,6,1,2,1,0,9,34,0.178,0.246,0.297,0.543,0.229,35,0,2,1,1,2,1,OAK
