Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
1,C,Yadier Molina,36,113,452,419,45,113,24,0,10,57,6,0,23,58,0.27,0.312,0.399,0.711,85,167,14,5,0,5,0,STL
2,1B,Paul Goldschmidt,31,161,682,597,97,155,25,1,34,97,3,1,78,166,0.26,0.346,0.476,0.821,113,284,11,2,0,3,2,STL
3,2B,Kolten Wong,28,148,549,478,61,136,25,4,11,59,24,4,47,83,0.285,0.361,0.423,0.784,106,202,2,13,6,5,5,STL
4,SS,Paul DeJong,25,159,664,583,97,136,31,1,30,78,9,5,62,149,0.233,0.318,0.444,0.762,97,259,15,13,0,6,1,STL
5,3B,Matt Carpenter,33,129,492,416,59,94,20,2,15,46,6,1,63,129,0.226,0.334,0.392,0.726,91,163,3,7,1,5,0,STL
6,LF,Marcell Ozuna,28,130,549,485,80,117,23,1,29,89,12,2,62,114,0.241,0.328,0.472,0.8,107,229,21,1,0,1,2,STL
7,CF,Harrison Bader,25,128,406,347,54,71,14,3,12,39,11,3,46,117,0.205,0.314,0.366,0.68,78,127,3,10,1,2,4,STL
8,RF,Dexter Fowler,33,150,574,487,69,116,24,1,19,67,8,5,74,142,0.238,0.346,0.409,0.754,98,199,6,8,1,4,1,STL
9,RF,Jose Martinez,30,128,373,334,45,90,13,2,10,42,3,0,35,82,0.269,0.34,0.41,0.751,97,137,14,2,0,2,0,STL
10,IF,Tommy Edman,24,92,349,326,59,99,17,7,11,36,15,1,16,61,0.304,0.35,0.5,0.85,120,163,3,7,0,0,0,STL
11,C,Matt Wieters,33,67,183,168,15,36,4,0,11,27,1,1,12,47,0.214,0.268,0.435,0.702,80,73,3,1,0,2,0,STL
12,UT,Yairo Munoz,24,88,181,172,20,46,7,1,2,13,8,3,7,37,0.267,0.298,0.355,0.653,71,61,5,1,0,1,0,STL
13,LF,Tyler O'Neill,24,60,151,141,18,37,6,0,5,16,1,0,10,53,0.262,0.311,0.411,0.723,88,58,3,0,0,0,0,STL
14,IF,Jedd Gyorko,30,38,62,56,5,11,0,0,2,7,2,0,6,14,0.196,0.274,0.304,0.578,52,17,1,0,0,0,0,STL
15,C,Andrew Knizner,24,18,58,53,7,12,2,0,2,7,2,0,4,14,0.226,0.293,0.377,0.67,75,20,3,1,0,0,0,STL
16,OF,Lane Thomas,23,34,44,38,6,12,0,1,4,12,1,1,4,8,0.316,0.409,0.684,1.093,180,26,1,2,0,0,0,STL
17,1B,Rangel Ravelo,27,29,43,39,4,8,2,0,2,7,0,0,3,12,0.205,0.256,0.41,0.666,71,16,1,0,0,1,0,STL
18,OF,Randy Arozarena,24,19,23,20,4,6,1,0,1,2,2,1,2,4,0.3,0.391,0.5,0.891,133,10,0,1,0,0,0,STL
19,2B,Edmundo Sosa,23,8,10,8,2,2,0,0,0,0,1,0,1,2,0.25,0.4,0.25,0.65,78,2,0,1,0,0,0,STL
20,OF,Drew Robinson,27,5,7,7,1,1,0,0,0,0,0,0,0,3,0.143,0.143,0.143,0.286,-24,1,0,0,0,0,0,STL
21,,Joe Hudson,28,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,STL
