Name,Age,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,STL
John Brebbia\brebbjo01,29,72.2,,66,304,273,31,59,12,1,6,1,1,27,87,0.216,0.293,0.333,0.626,0.293,91,1,3,0,1,2,1,STL
Genesis Cabrera*\cabrege01,22,20.1,,13,99,84,16,23,4,0,2,2,0,11,19,0.274,0.367,0.393,0.76,0.328,33,1,2,1,1,0,4,STL
Junior Fernandez\fernaju01,22,11.2,,13,54,44,7,9,0,0,2,2,0,6,16,0.205,0.352,0.341,0.693,0.269,15,1,4,0,0,0,0,STL
Jack Flaherty\flaheja01,23,196.1,,33,772,704,62,135,24,1,25,1,3,55,231,0.192,0.256,0.335,0.591,0.244,236,14,7,3,3,2,4,STL
Giovanny Gallegos\gallegi01,27,74,,66,279,259,19,44,10,1,9,2,1,16,93,0.17,0.226,0.32,0.546,0.222,83,4,3,0,1,2,2,STL
John Gant\gantjo01,26,66.1,,64,269,235,29,51,11,1,4,1,0,34,60,0.217,0.316,0.323,0.639,0.275,76,13,0,0,0,1,1,STL
Luke Gregerson\gregelu01,35,5.2,,6,27,26,5,11,2,0,0,0,1,1,2,0.423,0.444,0.5,0.944,0.458,13,1,0,0,0,0,0,STL
Jedd Gyorko\gyorkje01,30,0.1,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,STL
Ryan Helsley\helslry01,24,36.2,,24,153,139,13,34,9,1,5,2,0,12,32,0.245,0.303,0.432,0.734,0.282,60,2,0,1,1,2,1,STL
Jordan Hicks\hicksjo03,22,28.2,,29,110,98,10,16,3,0,2,0,0,11,31,0.163,0.255,0.255,0.51,0.215,25,3,1,0,0,0,0,STL
Dakota Hudson\hudsoda02,24,174.2,,33,757,652,80,160,37,0,22,3,1,86,136,0.245,0.338,0.403,0.742,0.275,263,20,9,3,7,8,6,STL
Dominic Leone\leonedo01,27,40.2,,40,180,156,28,39,9,0,9,1,0,22,46,0.25,0.341,0.481,0.822,0.294,75,5,0,1,1,2,2,STL
Carlos Martinez\martica04,27,48.1,,48,200,177,18,39,6,0,2,0,0,18,53,0.22,0.302,0.288,0.59,0.301,51,6,3,1,1,1,2,STL
Mike Mayers\mayermi01,27,19,,16,88,76,14,21,5,2,3,1,0,11,16,0.276,0.375,0.513,0.888,0.316,39,1,1,0,0,2,0,STL
Adalberto Mejia*\mejiaad01,26,3,,2,17,16,3,8,2,0,0,0,0,1,2,0.5,0.529,0.625,1.154,0.571,10,0,0,0,0,0,0,STL
Miles Mikolas\mikolmi01,30,184,,32,764,710,90,193,33,6,27,5,2,32,144,0.272,0.311,0.449,0.761,0.304,319,23,12,3,7,1,6,STL
Andrew Miller*\millean01,34,54.2,,73,236,200,32,45,2,0,11,1,0,27,70,0.225,0.339,0.4,0.739,0.283,80,7,8,0,1,1,1,STL
Daniel Ponce de Leon\ponceda01,27,48.2,,13,203,174,21,36,7,0,6,0,2,26,52,0.207,0.315,0.351,0.666,0.256,61,7,2,0,1,3,2,STL
Alex Reyes\reyesal02,24,3,,4,17,10,5,2,0,0,1,0,0,6,1,0.2,0.471,0.5,0.971,0.111,5,0,0,0,1,0,0,STL
Chasen Shreve*\shrevch01,28,2,,3,10,8,2,2,2,0,0,0,0,1,2,0.25,0.4,0.5,0.9,0.333,4,0,1,0,0,0,0,STL
Michael Wacha\wachami01,27,126.2,,29,562,493,71,143,25,1,26,5,3,55,104,0.29,0.362,0.503,0.865,0.318,248,15,3,6,5,4,3,STL
Adam Wainwright\wainwad01,37,171.2,,31,745,662,83,181,38,3,22,4,4,64,153,0.273,0.342,0.44,0.782,0.323,291,13,8,6,5,7,3,STL
Tyler Webb*\webbty01,28,55,,65,221,192,23,33,5,2,7,3,1,23,48,0.172,0.265,0.328,0.593,0.187,63,2,2,2,2,3,2,STL
League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL
Team Total,27.8,,,704,6068,5389,662,1284,246,19,191,34,19,545,1399,0.238,0.314,0.397,0.711,0.285,2141,139,69,27,38,41,40,STL
