Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
1,C,Mike Zunino\zuninmi01,28,90,289,266,30,44,10,1,9,32,0,0,20,98,0.165,0.232,0.312,0.544,44,83,4,3,0,0,0,TBR
2,1B,Ji-Man Choi*\choiji01,28,127,487,410,54,107,20,2,19,63,2,3,64,108,0.261,0.363,0.459,0.822,119,188,7,6,0,7,2,TBR
3,2B,Brandon Lowe*\lowebr01,24,82,327,296,42,80,17,2,17,51,5,0,25,113,0.27,0.336,0.514,0.85,124,152,1,5,0,1,0,TBR
4,SS,Willy Adames\adamewi01,23,152,584,531,69,135,25,1,20,52,4,2,46,153,0.254,0.317,0.418,0.735,95,222,9,3,3,1,1,TBR
5,3B,Yandy Diaz\diazya01,27,79,347,307,53,82,20,1,14,38,2,2,35,61,0.267,0.34,0.476,0.816,116,146,9,1,0,4,1,TBR
6,LF,Tommy Pham\phamth01,31,145,654,567,77,155,33,2,21,68,25,4,81,123,0.273,0.369,0.45,0.818,119,255,22,5,0,1,4,TBR
7,CF,Kevin Kiermaier*\kiermke01,29,129,480,447,60,102,20,7,14,55,19,5,26,104,0.228,0.278,0.398,0.676,79,178,8,5,1,1,2,TBR
8,RF,Avisail Garcia\garciav01,28,125,530,489,61,138,25,2,20,72,10,4,31,125,0.282,0.332,0.464,0.796,111,227,15,7,0,3,2,TBR
9,DH,Austin Meadows*\meadoau01,24,138,591,530,83,154,29,7,33,89,12,7,54,131,0.291,0.364,0.558,0.922,143,296,3,7,0,0,6,TBR
10,UT,Travis d'Arnaud\darnatr01,30,92,365,327,50,86,16,0,16,67,0,1,30,80,0.263,0.323,0.459,0.782,107,150,3,2,0,6,0,TBR
11,IF,Joey Wendle*\wendljo01,29,75,263,238,32,55,13,2,3,19,8,3,14,47,0.231,0.293,0.34,0.633,70,81,4,8,0,3,0,TBR
12,IF,Daniel Robertson\roberda10,25,74,237,207,23,44,9,1,2,19,2,2,24,59,0.213,0.312,0.295,0.607,66,61,10,6,0,0,0,TBR
13,OF,Guillermo Heredia\heredgu01,28,89,231,204,31,46,13,0,5,20,2,2,18,60,0.225,0.306,0.363,0.668,79,74,4,6,2,1,0,TBR
14,3B,Matt Duffy\duffyma01,28,46,169,147,12,37,8,0,1,12,0,1,19,29,0.252,0.343,0.327,0.67,83,48,4,2,0,1,0,TBR
15,1B,Nate Lowe*\lowena01,23,50,169,152,24,40,8,0,7,19,0,0,13,50,0.263,0.325,0.454,0.779,106,69,4,2,0,2,0,TBR
