Name,Age,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,TBR
Jose Alvarado*\alvarjo03,24,30,,35,146,114,18,29,4,1,2,1,0,27,39,0.254,0.392,0.36,0.751,0.36,41,3,0,3,2,3,2,TBR
Nick Anderson\anderni01,28,21.1,,23,78,75,5,12,3,0,3,0,0,2,41,0.16,0.192,0.32,0.512,0.29,24,0,1,0,0,1,0,TBR
Anthony Banda*\bandaan01,25,4,,3,18,18,3,6,4,0,0,0,0,0,2,0.333,0.333,0.556,0.889,0.375,10,0,0,0,0,0,0,TBR
Jalen Beeks*\beeksja02,25,104.1,,33,464,409,56,115,27,0,12,3,2,40,89,0.281,0.354,0.435,0.789,0.329,178,9,9,1,5,1,4,TBR
Mike Brosseau\brossmi01,25,4,,3,18,17,2,5,2,0,1,0,0,0,0,0.294,0.333,0.588,0.922,0.25,10,0,1,0,0,0,0,TBR
Diego Castillo\castidi01,25,68.2,,65,290,257,32,59,9,2,8,3,0,26,81,0.23,0.311,0.374,0.685,0.302,96,7,5,1,1,4,3,TBR
Yonny Chirinos\chiriyo01,25,133.1,,26,530,498,61,112,19,3,23,4,5,28,114,0.225,0.27,0.414,0.683,0.246,206,10,3,0,1,1,5,TBR
Jose De Leon\deleojo03,26,4,,3,21,16,2,3,0,0,0,0,0,3,7,0.188,0.381,0.188,0.568,0.333,3,0,2,0,0,1,1,TBR
Oliver Drake\drakeol01,32,56,,50,219,199,20,36,8,0,9,1,3,19,70,0.181,0.256,0.357,0.612,0.225,71,2,1,0,0,1,1,TBR
Peter Fairbanks\fairbpe01,25,12.1,,13,58,55,10,17,7,0,1,1,1,3,13,0.309,0.345,0.491,0.836,0.39,27,1,0,0,0,0,3,TBR
Jake Faria\fariaja01,25,10,,7,47,40,3,10,3,0,2,0,0,7,11,0.25,0.362,0.475,0.837,0.296,19,1,0,0,0,0,1,TBR
