Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
4,SS,Trea Turner,26,122,569,521,96,155,37,5,19,57,35,5,43,113,0.298,0.353,0.497,0.85,113,259,10,3,0,2,2,WSN
5,3B,Anthony Rendon,29,146,646,545,117,174,44,3,34,126,5,1,80,86,0.319,0.412,0.598,1.01,153,326,13,12,0,9,8,WSN
6,LF,Juan Soto,20,150,659,542,110,153,32,5,34,110,12,1,108,132,0.282,0.401,0.548,0.949,138,297,11,3,0,6,3,WSN
8,RF,Adam Eaton,30,151,656,566,103,158,25,7,15,49,15,3,65,106,0.279,0.365,0.428,0.792,101,242,8,13,9,3,0,WSN
9,IF,Howie Kendrick,35,121,370,334,61,115,23,1,17,62,2,1,27,49,0.344,0.395,0.572,0.966,142,191,11,4,0,5,1,WSN
10,C,Kurt Suzuki,35,85,309,280,37,74,11,0,17,63,0,1,20,36,0.264,0.324,0.486,0.809,102,136,10,6,0,3,1,WSN
12,1B,Ryan Zimmerman,34,52,190,171,20,44,9,0,6,27,0,0,17,39,0.257,0.321,0.415,0.736,86,71,4,0,0,2,0,WSN
15,CF,Michael A. Taylor,28,53,97,88,10,22,7,0,1,3,6,0,7,34,0.25,0.305,0.364,0.669,70,32,0,0,2,0,0,WSN
16,DH,Victor Robles,22,155,617,546,86,139,33,3,17,65,28,9,35,140,0.255,0.326,0.419,0.745,88,229,6,25,6,5,3,WSN
NA,P,PITCHER,NA,NA,4561,NA,NA,520,72,4,20,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WSN
