Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,
1,SP,Stephen Strasburg\strasst01,30,18,6,0.75,3.32,33,33,0,0,0,0,209,161,79,77,24,56,4,251,10,0,8,841,138,3.25,1.038,6.9,1,2.4,10.8,4.48,WSN
2,SP,Patrick Corbin*\corbipa01,29,14,7,0.667,3.25,33,33,0,1,1,0,202,169,81,73,24,70,2,238,3,0,4,835,141,3.49,1.183,7.5,1.1,3.1,10.6,3.4,WSN
3,SP,Max Scherzer\scherma01,34,11,7,0.611,2.92,27,27,0,0,0,0,172.1,144,59,56,18,33,2,243,7,0,0,693,157,2.45,1.027,7.5,0.9,1.7,12.7,7.36,WSN
4,SP,Anibal Sanchez\sanchan01,35,11,8,0.579,3.85,30,30,0,0,0,0,166,153,77,71,22,58,10,134,4,3,1,712,119,4.44,1.271,8.3,1.2,3.1,7.3,2.31,WSN
5,SP,Erick Fedde\feddeer01,26,4,2,0.667,4.5,21,12,3,0,0,0,78,81,39,39,11,33,2,41,2,0,1,334,102,5.34,1.462,9.3,1.3,3.8,4.7,1.24,WSN
6,CL,Sean Doolittle*\doolise01,32,6,5,0.545,4.05,63,0,55,0,0,29,60,63,27,27,11,15,2,66,2,0,0,260,113,4.25,1.3,9.5,1.7,2.3,9.9,4.4,WSN
7,RP,Wander Suero\suerowa01,27,6,9,0.4,4.54,78,0,10,0,0,1,71.1,64,36,36,5,26,3,81,3,1,2,296,101,3.07,1.262,8.1,0.6,3.3,10.2,3.12,WSN
8,RP,Javy Guerra\guerrja01,33,3,1,0.75,4.86,40,0,15,0,0,1,53.2,55,30,29,9,12,2,42,0,0,3,228,95,4.5,1.248,9.2,1.5,2,7,3.5,WSN
9,RP,Tanner Rainey\raineta01,26,2,3,0.4,3.91,52,0,7,0,0,0,48.1,32,22,21,6,38,2,74,4,0,7,214,118,4.37,1.448,6,1.1,7.1,13.8,1.95,WSN
10,RP,Matt Grace*\gracema02,30,1,2,0.333,6.36,51,1,12,0,0,0,46.2,61,34,33,11,10,0,35,2,0,1,206,72,5.55,1.521,11.8,2.1,1.9,6.8,3.5,WSN
11,,Joe Ross\rossjo01,26,4,4,0.5,5.48,27,9,3,0,0,0,64,74,41,39,7,33,1,57,4,0,2,295,84,4.59,1.672,10.4,1,4.6,8,1.73,WSN
12,,Austin Voth\vothau01,27,2,1,0.667,3.3,9,8,0,0,0,0,43.2,33,16,16,5,13,2,44,3,0,0,174,140,3.79,1.053,6.8,1,2.7,9.1,3.38,WSN
13,,Jeremy Hellickson\hellije01,32,2,3,0.4,6.23,9,8,1,0,0,0,39,47,31,27,9,20,1,30,1,0,1,183,74,6.29,1.718,10.8,2.1,4.6,6.9,1.5,WSN
14,,Fernando Rodney\rodnefe01,42,0,3,0,4.05,38,0,8,0,0,2,33.1,29,16,15,3,16,1,35,0,0,4,140,114,3.72,1.35,7.8,0.8,4.3,9.5,2.19,WSN
15,,Kyle Barraclough\barraky01,29,1,2,0.333,6.66,33,0,6,0,0,0,25.2,33,21,19,8,12,2,30,2,1,2,124,69,6.56,1.753,11.6,2.8,4.2,10.5,2.5,WSN
16,,Daniel Hudson\hudsoda01,32,3,0,1,1.44,24,0,14,0,0,6,25,18,7,4,3,4,2,23,1,0,1,97,322,3.53,0.88,6.5,1.1,1.4,8.3,5.75,WSN
17,,Tony Sipp*\sippto01,35,1,2,0.333,4.71,36,0,7,0,0,0,21,19,12,11,1,9,0,18,1,0,1,92,98,3.55,1.333,8.1,0.4,3.9,7.7,2,WSN
18,,Hunter Strickland\strichu01,30,2,0,1,5.14,24,0,1,0,0,0,21,20,12,12,5,8,0,15,2,0,1,92,90,6.31,1.333,8.6,2.1,3.4,6.4,1.88,WSN
19,,Kyle McGowin\mcgowky01,27,0,0,,10.13,7,1,4,0,0,1,16,22,19,18,7,4,0,18,1,0,4,76,46,7.59,1.625,12.4,3.9,2.3,10.1,4.5,WSN
20,,Justin Miller\milleju02,32,1,0,1,4.02,17,0,5,0,0,0,15.2,16,8,7,5,4,0,11,2,0,0,65,116,7.11,1.277,9.2,2.9,2.3,6.3,2.75,WSN
21,,Trevor Rosenthal\rosentr01,29,0,1,0,22.74,12,0,5,0,0,0,6.1,8,16,16,0,15,0,5,3,0,5,43,21,10.16,3.632,11.4,0,21.3,7.1,0.33,WSN
22,,Michael Blazek\blazemi01,30,0,0,,7.2,4,0,3,0,0,0,5,6,4,4,1,5,0,0,0,0,0,26,68,8.81,2.2,10.8,1.8,9,0,0,WSN
23,,Dan Jennings*\jennida01,32,1,2,0.333,13.5,8,0,0,0,0,0,4.2,8,8,7,1,7,2,9,1,0,1,32,36,7.29,3.214,15.4,1.9,13.5,17.4,1.29,WSN
24,,Jonny Venters*\ventejo01,34,0,1,0,5.4,3,0,1,0,0,0,3.1,3,3,2,0,2,1,5,2,0,0,18,93,3.81,1.5,8.1,0,5.4,13.5,2.5,WSN
25,,Roenis Elias*\eliasro01,30,0,0,,9,4,0,0,0,0,0,3,5,4,3,2,1,0,2,0,0,0,13,56,11.55,2,15,6,3,6,2,WSN
26,,Aaron Barrett\barreaa01,31,0,0,,15.43,3,0,0,0,0,0,2.1,5,4,4,1,4,0,1,0,0,1,16,34,13.07,3.857,19.3,3.9,15.4,3.9,0.25,WSN
27,,Brian Dozier\doziebr01,32,0,0,,18,1,0,1,0,0,0,1,2,2,2,1,0,0,0,0,0,0,5,34,16.21,2,18,9,0,0,,WSN
28,,Austin Adams\adamsau02,28,0,0,,9,1,0,0,0,0,0,1,0,1,1,0,2,0,2,1,0,2,6,68,8.21,2,0,0,18,18,1,WSN
29,,James Bourque\bourqja01,25,0,0,,54,1,0,0,0,0,0,0.2,3,4,4,0,2,0,0,0,0,0,6,13,12.21,7.5,40.5,0,27,0,0,WSN
30,,Austen Williams\williau01,26,0,0,,162,2,0,0,0,0,0,0.1,5,6,6,2,1,0,1,0,0,0,7,6,84.21,18,135,54,27,27,1,WSN
