"","NYY","HOU","Series Winner"
"1","4","2","NYY"
"2","1","4","HOU"
"3","0","4","HOU"
"4","2","4","HOU"
"5","2","4","HOU"
"6","2","4","HOU"
"7","3","4","HOU"
"8","4","1","NYY"
"9","4","1","NYY"
"10","1","4","HOU"
"11","2","4","HOU"
"12","0","4","HOU"
"13","3","4","HOU"
"14","1","4","HOU"
"15","2","4","HOU"
"16","4","0","NYY"
"17","2","4","HOU"
"18","0","4","HOU"
"19","3","4","HOU"
"20","0","4","HOU"
"21","0","4","HOU"
"22","0","4","HOU"
"23","3","4","HOU"
"24","4","1","NYY"
"25","1","4","HOU"
"26","4","1","NYY"
"27","1","4","HOU"
"28","2","4","HOU"
"29","2","4","HOU"
"30","3","4","HOU"
"31","4","2","NYY"
"32","3","4","HOU"
"33","1","4","HOU"
"34","3","4","HOU"
"35","0","4","HOU"
"36","4","2","NYY"
"37","0","4","HOU"
"38","1","4","HOU"
"39","0","4","HOU"
"40","2","4","HOU"
"41","2","4","HOU"
"42","3","4","HOU"
"43","3","4","HOU"
"44","4","2","NYY"
"45","4","3","NYY"
"46","1","4","HOU"
"47","4","2","NYY"
"48","2","4","HOU"
"49","1","4","HOU"
"50","1","4","HOU"
"51","0","4","HOU"
"52","3","4","HOU"
"53","4","1","NYY"
"54","3","4","HOU"
"55","1","4","HOU"
"56","4","3","NYY"
"57","0","4","HOU"
"58","1","4","HOU"
"59","4","1","NYY"
"60","1","4","HOU"
"61","1","4","HOU"
"62","4","3","NYY"
"63","2","4","HOU"
"64","3","4","HOU"
"65","0","4","HOU"
"66","3","4","HOU"
"67","2","4","HOU"
"68","3","4","HOU"
"69","3","4","HOU"
"70","0","4","HOU"
"71","2","4","HOU"
"72","2","4","HOU"
"73","3","4","HOU"
"74","2","4","HOU"
"75","2","4","HOU"
"76","1","4","HOU"
"77","1","4","HOU"
"78","2","4","HOU"
"79","1","4","HOU"
"80","1","4","HOU"
"81","4","2","NYY"
"82","2","4","HOU"
"83","3","4","HOU"
"84","1","4","HOU"
"85","1","4","HOU"
"86","4","3","NYY"
"87","1","4","HOU"
"88","3","4","HOU"
"89","4","1","NYY"
"90","4","0","NYY"
"91","2","4","HOU"
"92","2","4","HOU"
"93","4","1","NYY"
"94","4","3","NYY"
"95","3","4","HOU"
"96","3","4","HOU"
"97","3","4","HOU"
"98","2","4","HOU"
"99","2","4","HOU"
"100","2","4","HOU"
"101","4","2","NYY"
"102","4","2","NYY"
"103","2","4","HOU"
"104","1","4","HOU"
"105","2","4","HOU"
"106","4","3","NYY"
"107","4","2","NYY"
"108","4","3","NYY"
"109","4","1","NYY"
"110","3","4","HOU"
"111","2","4","HOU"
"112","0","4","HOU"
"113","0","4","HOU"
"114","3","4","HOU"
"115","4","2","NYY"
"116","4","0","NYY"
"117","4","0","NYY"
"118","4","0","NYY"
"119","4","1","NYY"
"120","3","4","HOU"
"121","0","4","HOU"
"122","1","4","HOU"
"123","2","4","HOU"
"124","2","4","HOU"
"125","2","4","HOU"
"126","4","1","NYY"
"127","1","4","HOU"
"128","3","4","HOU"
"129","2","4","HOU"
"130","1","4","HOU"
"131","2","4","HOU"
"132","1","4","HOU"
"133","4","3","NYY"
"134","1","4","HOU"
"135","3","4","HOU"
"136","3","4","HOU"
"137","4","2","NYY"
"138","2","4","HOU"
