"","OAK","NYY","Series Winner"
"1","4","0","OAK"
"2","4","1","OAK"
"3","4","3","OAK"
"4","1","4","NYY"
"5","2","4","NYY"
"6","1","4","NYY"
"7","3","4","NYY"
"8","2","4","NYY"
"9","4","2","OAK"
"10","2","4","NYY"
"11","4","1","OAK"
"12","2","4","NYY"
"13","2","4","NYY"
"14","3","4","NYY"
"15","4","1","OAK"
"16","1","4","NYY"
"17","0","4","NYY"
"18","1","4","NYY"
"19","3","4","NYY"
"20","1","4","NYY"
"21","3","4","NYY"
"22","4","2","OAK"
"23","4","0","OAK"
"24","3","4","NYY"
"25","1","4","NYY"
"26","2","4","NYY"
"27","4","2","OAK"
"28","3","4","NYY"
"29","3","4","NYY"
"30","3","4","NYY"
"31","4","2","OAK"
"32","4","1","OAK"
"33","2","4","NYY"
"34","4","2","OAK"
"35","2","4","NYY"
"36","3","4","NYY"
"37","1","4","NYY"
"38","4","3","OAK"
"39","4","3","OAK"
"40","1","4","NYY"
"41","1","4","NYY"
"42","4","1","OAK"
"43","4","3","OAK"
"44","1","4","NYY"
"45","4","3","OAK"
"46","0","4","NYY"
"47","4","3","OAK"
"48","4","3","OAK"
"49","4","0","OAK"
"50","4","3","OAK"
"51","1","4","NYY"
"52","2","4","NYY"
"53","1","4","NYY"
"54","4","3","OAK"
"55","4","3","OAK"
"56","2","4","NYY"
"57","2","4","NYY"
"58","2","4","NYY"
"59","4","2","OAK"
"60","0","4","NYY"
"61","4","3","OAK"
"62","4","3","OAK"
"63","2","4","NYY"
"64","3","4","NYY"
"65","1","4","NYY"
"66","4","3","OAK"
"67","4","3","OAK"
"68","0","4","NYY"
"69","1","4","NYY"
"70","4","1","OAK"
"71","4","2","OAK"
"72","3","4","NYY"
"73","1","4","NYY"
"74","2","4","NYY"
"75","4","1","OAK"
"76","4","0","OAK"
"77","4","1","OAK"
"78","4","2","OAK"
"79","4","2","OAK"
"80","1","4","NYY"
"81","2","4","NYY"
"82","3","4","NYY"
"83","4","0","OAK"
"84","1","4","NYY"
"85","4","3","OAK"
"86","1","4","NYY"
"87","1","4","NYY"
"88","2","4","NYY"
"89","1","4","NYY"
"90","1","4","NYY"
"91","4","1","OAK"
"92","4","3","OAK"
"93","4","1","OAK"
"94","2","4","NYY"
"95","4","3","OAK"
"96","4","0","OAK"
"97","1","4","NYY"
"98","2","4","NYY"
"99","4","1","OAK"
"100","1","4","NYY"
"101","4","1","OAK"
"102","4","0","OAK"
"103","4","2","OAK"
