"","MIN","NYY","Series Winner"
"1","3","0","MIN"
"2","1","3","NYY"
"3","3","1","MIN"
"4","3","1","MIN"
"5","0","3","NYY"
"6","3","1","MIN"
"7","3","2","MIN"
"8","3","0","MIN"
"9","3","2","MIN"
"10","3","1","MIN"
"11","1","3","NYY"
"12","3","2","MIN"
"13","2","3","NYY"
"14","0","3","NYY"
"15","2","3","NYY"
"16","3","1","MIN"
"17","2","3","NYY"
"18","1","3","NYY"
"19","3","2","MIN"
"20","3","2","MIN"
"21","3","1","MIN"
"22","3","2","MIN"
"23","0","3","NYY"
"24","3","2","MIN"
"25","3","2","MIN"
"26","2","3","NYY"
"27","1","3","NYY"
"28","3","0","MIN"
"29","1","3","NYY"
"30","3","0","MIN"
"31","3","2","MIN"
"32","3","2","MIN"
"33","2","3","NYY"
"34","2","3","NYY"
"35","3","0","MIN"
"36","3","2","MIN"
"37","3","1","MIN"
"38","0","3","NYY"
"39","1","3","NYY"
"40","2","3","NYY"
"41","3","2","MIN"
"42","2","3","NYY"
"43","3","0","MIN"
"44","3","1","MIN"
"45","3","0","MIN"
"46","3","1","MIN"
"47","1","3","NYY"
"48","3","1","MIN"
"49","3","1","MIN"
"50","3","1","MIN"
"51","2","3","NYY"
"52","3","0","MIN"
"53","3","2","MIN"
"54","0","3","NYY"
"55","3","1","MIN"
"56","0","3","NYY"
"57","2","3","NYY"
"58","3","2","MIN"
"59","0","3","NYY"
"60","3","1","MIN"
"61","2","3","NYY"
"62","3","2","MIN"
"63","2","3","NYY"
"64","1","3","NYY"
"65","3","2","MIN"
"66","0","3","NYY"
"67","3","0","MIN"
"68","1","3","NYY"
"69","3","1","MIN"
"70","3","0","MIN"
"71","3","2","MIN"
"72","3","0","MIN"
"73","3","1","MIN"
"74","1","3","NYY"
"75","3","2","MIN"
"76","3","2","MIN"
"77","3","2","MIN"
"78","1","3","NYY"
"79","2","3","NYY"
"80","0","3","NYY"
"81","2","3","NYY"
"82","3","1","MIN"
"83","2","3","NYY"
"84","0","3","NYY"
"85","1","3","NYY"
"86","3","2","MIN"
"87","2","3","NYY"
"88","2","3","NYY"
"89","3","2","MIN"
"90","3","0","MIN"
"91","0","3","NYY"
"92","3","0","MIN"
"93","3","2","MIN"
"94","0","3","NYY"
"95","0","3","NYY"
"96","3","2","MIN"
"97","3","0","MIN"
"98","3","2","MIN"
"99","0","3","NYY"
"100","3","0","MIN"
"101","3","2","MIN"
"102","1","3","NYY"
"103","0","3","NYY"
"104","2","3","NYY"
"105","2","3","NYY"
"106","3","2","MIN"
"107","3","1","MIN"
"108","3","1","MIN"
"109","3","1","MIN"
"110","0","3","NYY"
"111","3","2","MIN"
"112","3","1","MIN"
"113","3","2","MIN"
"114","3","0","MIN"
"115","3","2","MIN"
"116","3","1","MIN"
"117","2","3","NYY"
"118","0","3","NYY"
"119","2","3","NYY"
"120","3","2","MIN"
"121","0","3","NYY"
"122","3","2","MIN"
"123","1","3","NYY"
"124","1","3","NYY"
"125","3","1","MIN"
"126","3","2","MIN"
"127","2","3","NYY"
"128","3","2","MIN"
"129","0","3","NYY"
"130","3","1","MIN"
"131","3","1","MIN"
"132","3","1","MIN"
"133","3","0","MIN"
"134","3","1","MIN"
"135","3","0","MIN"
"136","3","2","MIN"
"137","1","3","NYY"
"138","3","2","MIN"
"139","3","1","MIN"
"140","3","2","MIN"
"141","3","1","MIN"
"142","3","2","MIN"
"143","1","3","NYY"
"144","3","0","MIN"
"145","3","2","MIN"
"146","1","3","NYY"
"147","3","1","MIN"
"148","1","3","NYY"
"149","3","0","MIN"
"150","3","2","MIN"
"151","0","3","NYY"
"152","2","3","NYY"
"153","0","3","NYY"
"154","3","0","MIN"
"155","2","3","NYY"
