"","OAK","HOU","Series Winner"
"1","2","3","HOU"
"2","2","3","HOU"
"3","2","3","HOU"
"4","1","3","HOU"
"5","2","3","HOU"
"6","0","3","HOU"
"7","0","3","HOU"
"8","1","3","HOU"
"9","3","0","OAK"
"10","2","3","HOU"
"11","0","3","HOU"
"12","0","3","HOU"
"13","3","2","OAK"
"14","2","3","HOU"
"15","2","3","HOU"
"16","0","3","HOU"
"17","2","3","HOU"
"18","3","1","OAK"
"19","1","3","HOU"
"20","3","0","OAK"
"21","0","3","HOU"
"22","3","2","OAK"
"23","1","3","HOU"
"24","1","3","HOU"
"25","3","2","OAK"
"26","2","3","HOU"
"27","2","3","HOU"
"28","3","0","OAK"
"29","3","0","OAK"
"30","0","3","HOU"
"31","0","3","HOU"
"32","0","3","HOU"
"33","1","3","HOU"
"34","0","3","HOU"
"35","1","3","HOU"
"36","2","3","HOU"
"37","1","3","HOU"
"38","0","3","HOU"
"39","2","3","HOU"
"40","0","3","HOU"
"41","1","3","HOU"
"42","3","2","OAK"
"43","3","1","OAK"
"44","1","3","HOU"
"45","1","3","HOU"
"46","2","3","HOU"
"47","0","3","HOU"
"48","2","3","HOU"
"49","3","2","OAK"
"50","0","3","HOU"
"51","3","1","OAK"
"52","1","3","HOU"
"53","0","3","HOU"
"54","1","3","HOU"
"55","1","3","HOU"
"56","3","2","OAK"
"57","0","3","HOU"
"58","0","3","HOU"
"59","1","3","HOU"
"60","1","3","HOU"
"61","3","0","OAK"
"62","2","3","HOU"
"63","2","3","HOU"
"64","2","3","HOU"
"65","2","3","HOU"
"66","0","3","HOU"
"67","2","3","HOU"
"68","1","3","HOU"
"69","2","3","HOU"
"70","1","3","HOU"
"71","0","3","HOU"
"72","1","3","HOU"
"73","1","3","HOU"
"74","0","3","HOU"
"75","1","3","HOU"
"76","1","3","HOU"
"77","0","3","HOU"
"78","3","2","OAK"
"79","1","3","HOU"
"80","0","3","HOU"
"81","2","3","HOU"
"82","0","3","HOU"
"83","3","2","OAK"
"84","1","3","HOU"
"85","1","3","HOU"
"86","1","3","HOU"
"87","1","3","HOU"
"88","1","3","HOU"
"89","3","0","OAK"
"90","2","3","HOU"
"91","3","1","OAK"
"92","3","2","OAK"
"93","1","3","HOU"
"94","2","3","HOU"
"95","2","3","HOU"
"96","0","3","HOU"
"97","2","3","HOU"
"98","3","0","OAK"
"99","1","3","HOU"
"100","2","3","HOU"
"101","1","3","HOU"
"102","2","3","HOU"
"103","3","1","OAK"
"104","0","3","HOU"
"105","1","3","HOU"
"106","3","2","OAK"
"107","3","2","OAK"
"108","2","3","HOU"
"109","0","3","HOU"
"110","0","3","HOU"
"111","1","3","HOU"
"112","3","2","OAK"
"113","1","3","HOU"
"114","1","3","HOU"
"115","1","3","HOU"
"116","1","3","HOU"
"117","0","3","HOU"
"118","1","3","HOU"
"119","1","3","HOU"
"120","2","3","HOU"
"121","3","1","OAK"
"122","3","2","OAK"
"123","3","1","OAK"
"124","1","3","HOU"
"125","3","1","OAK"
"126","2","3","HOU"
"127","0","3","HOU"
"128","2","3","HOU"
"129","0","3","HOU"
"130","3","1","OAK"
"131","1","3","HOU"
"132","2","3","HOU"
"133","1","3","HOU"
"134","0","3","HOU"
"135","2","3","HOU"
"136","2","3","HOU"
"137","0","3","HOU"
"138","3","2","OAK"
"139","0","3","HOU"
"140","0","3","HOU"
"141","2","3","HOU"
"142","2","3","HOU"
"143","0","3","HOU"
"144","3","1","OAK"
"145","1","3","HOU"
"146","2","3","HOU"
"147","1","3","HOU"
"148","0","3","HOU"
"149","1","3","HOU"
"150","2","3","HOU"
"151","1","3","HOU"
"152","2","3","HOU"
"153","0","3","HOU"
"154","1","3","HOU"
"155","1","3","HOU"
"156","2","3","HOU"
"157","1","3","HOU"
"158","1","3","HOU"
"159","1","3","HOU"
"160","3","1","OAK"
"161","3","2","OAK"
"162","1","3","HOU"
"163","3","2","OAK"
"164","2","3","HOU"
"165","0","3","HOU"
"166","0","3","HOU"
"167","2","3","HOU"
"168","3","1","OAK"
"169","0","3","HOU"
"170","3","1","OAK"
"171","2","3","HOU"
"172","1","3","HOU"
"173","2","3","HOU"
"174","2","3","HOU"
"175","1","3","HOU"
"176","1","3","HOU"
"177","2","3","HOU"
"178","3","1","OAK"
"179","3","2","OAK"
"180","3","1","OAK"
"181","0","3","HOU"
"182","2","3","HOU"
"183","1","3","HOU"
"184","1","3","HOU"
"185","3","0","OAK"
"186","0","3","HOU"
"187","1","3","HOU"
"188","3","1","OAK"
"189","3","1","OAK"
"190","2","3","HOU"
"191","0","3","HOU"
"192","3","1","OAK"
"193","2","3","HOU"
"194","0","3","HOU"
"195","0","3","HOU"
"196","3","1","OAK"
"197","3","1","OAK"
"198","1","3","HOU"
"199","1","3","HOU"
"200","1","3","HOU"
"201","0","3","HOU"
"202","1","3","HOU"
"203","0","3","HOU"
"204","1","3","HOU"
"205","1","3","HOU"
"206","1","3","HOU"
"207","0","3","HOU"
"208","1","3","HOU"
"209","2","3","HOU"
"210","0","3","HOU"
"211","3","2","OAK"
"212","1","3","HOU"
"213","2","3","HOU"
"214","3","1","OAK"
"215","2","3","HOU"
"216","2","3","HOU"
"217","1","3","HOU"
"218","2","3","HOU"
"219","0","3","HOU"
"220","1","3","HOU"
"221","0","3","HOU"
"222","0","3","HOU"
"223","3","1","OAK"
"224","3","0","OAK"
"225","1","3","HOU"
"226","0","3","HOU"
"227","1","3","HOU"
"228","1","3","HOU"
"229","0","3","HOU"
"230","1","3","HOU"
"231","1","3","HOU"
"232","3","1","OAK"
"233","0","3","HOU"
"234","2","3","HOU"
"235","2","3","HOU"
"236","2","3","HOU"
"237","0","3","HOU"
"238","3","2","OAK"
"239","0","3","HOU"
"240","1","3","HOU"
"241","0","3","HOU"
"242","1","3","HOU"
"243","1","3","HOU"
"244","1","3","HOU"
"245","0","3","HOU"
"246","3","2","OAK"
"247","1","3","HOU"
"248","1","3","HOU"
"249","1","3","HOU"
"250","2","3","HOU"
"251","3","0","OAK"
"252","0","3","HOU"
"253","2","3","HOU"
"254","0","3","HOU"
"255","2","3","HOU"
"256","1","3","HOU"
"257","3","1","OAK"
"258","2","3","HOU"
"259","0","3","HOU"
"260","1","3","HOU"
"261","1","3","HOU"
"262","2","3","HOU"
"263","1","3","HOU"
"264","0","3","HOU"
"265","2","3","HOU"
