"","TBR","HOU","Series Winner"
"1","1","3","HOU"
"2","2","3","HOU"
"3","2","3","HOU"
"4","1","3","HOU"
"5","3","2","TBR"
"6","1","3","HOU"
"7","0","3","HOU"
"8","1","3","HOU"
"9","2","3","HOU"
"10","3","1","TBR"
"11","2","3","HOU"
"12","3","0","TBR"
"13","1","3","HOU"
"14","0","3","HOU"
"15","2","3","HOU"
"16","0","3","HOU"
"17","0","3","HOU"
"18","1","3","HOU"
"19","0","3","HOU"
"20","1","3","HOU"
"21","1","3","HOU"
"22","1","3","HOU"
"23","0","3","HOU"
"24","0","3","HOU"
"25","2","3","HOU"
"26","2","3","HOU"
"27","0","3","HOU"
"28","3","1","TBR"
"29","0","3","HOU"
"30","0","3","HOU"
"31","3","2","TBR"
"32","0","3","HOU"
"33","0","3","HOU"
"34","2","3","HOU"
"35","2","3","HOU"
"36","0","3","HOU"
"37","2","3","HOU"
"38","1","3","HOU"
"39","3","2","TBR"
"40","0","3","HOU"
"41","0","3","HOU"
"42","1","3","HOU"
"43","0","3","HOU"
"44","0","3","HOU"
"45","0","3","HOU"
"46","3","1","TBR"
"47","3","2","TBR"
"48","3","2","TBR"
"49","0","3","HOU"
"50","1","3","HOU"
"51","0","3","HOU"
"52","0","3","HOU"
"53","2","3","HOU"
"54","3","1","TBR"
"55","0","3","HOU"
"56","0","3","HOU"
"57","2","3","HOU"
"58","1","3","HOU"
"59","3","1","TBR"
"60","3","2","TBR"
"61","2","3","HOU"
"62","2","3","HOU"
"63","3","2","TBR"
"64","3","2","TBR"
"65","0","3","HOU"
"66","2","3","HOU"
"67","3","1","TBR"
"68","1","3","HOU"
"69","0","3","HOU"
"70","2","3","HOU"
"71","1","3","HOU"
"72","3","1","TBR"
"73","0","3","HOU"
"74","0","3","HOU"
"75","3","1","TBR"
"76","3","2","TBR"
"77","1","3","HOU"
"78","1","3","HOU"
"79","0","3","HOU"
"80","1","3","HOU"
"81","2","3","HOU"
"82","0","3","HOU"
"83","2","3","HOU"
"84","2","3","HOU"
"85","0","3","HOU"
"86","2","3","HOU"
"87","1","3","HOU"
"88","3","2","TBR"
"89","3","1","TBR"
"90","0","3","HOU"
"91","3","1","TBR"
"92","0","3","HOU"
"93","2","3","HOU"
"94","3","2","TBR"
"95","3","0","TBR"
"96","2","3","HOU"
"97","1","3","HOU"
"98","0","3","HOU"
"99","0","3","HOU"
"100","0","3","HOU"
"101","0","3","HOU"
"102","3","2","TBR"
"103","2","3","HOU"
"104","1","3","HOU"
"105","3","1","TBR"
"106","1","3","HOU"
"107","2","3","HOU"
"108","1","3","HOU"
"109","0","3","HOU"
"110","3","1","TBR"
"111","1","3","HOU"
"112","0","3","HOU"
"113","1","3","HOU"
"114","3","1","TBR"
"115","3","0","TBR"
"116","2","3","HOU"
"117","0","3","HOU"
"118","1","3","HOU"
"119","0","3","HOU"
"120","3","2","TBR"
"121","0","3","HOU"
"122","0","3","HOU"
"123","2","3","HOU"
"124","2","3","HOU"
"125","3","2","TBR"
"126","2","3","HOU"
"127","2","3","HOU"
"128","3","1","TBR"
"129","2","3","HOU"
"130","3","2","TBR"
"131","0","3","HOU"
"132","2","3","HOU"
"133","1","3","HOU"
"134","0","3","HOU"
"135","3","1","TBR"
"136","0","3","HOU"
"137","0","3","HOU"
"138","3","2","TBR"
"139","0","3","HOU"
"140","2","3","HOU"
