"","TBR","OAK","Winner"
"1","5","9","OAK"
"2","4","11","OAK"
"3","5","10","OAK"
"4","3","3","TBR"
"5","3","6","OAK"
"6","1","2","OAK"
"7","3","5","OAK"
"8","1","2","OAK"
"9","4","4","TBR"
"10","14","7","TBR"
"11","10","1","TBR"
"12","5","10","OAK"
"13","5","2","TBR"
"14","5","8","OAK"
"15","12","2","TBR"
"16","0","12","OAK"
"17","7","8","OAK"
"18","6","3","TBR"
"19","3","2","TBR"
"20","2","3","OAK"
"21","2","4","OAK"
"22","5","7","OAK"
"23","2","11","OAK"
"24","5","8","OAK"
"25","5","4","TBR"
"26","0","1","OAK"
"27","9","3","TBR"
"28","1","6","OAK"
"29","4","4","OAK"
"30","3","4","OAK"
"31","3","8","OAK"
"32","4","3","TBR"
"33","5","4","TBR"
"34","4","7","OAK"
"35","5","9","OAK"
"36","0","4","OAK"
"37","3","3","TBR"
"38","3","4","OAK"
"39","8","11","OAK"
"40","1","9","OAK"
"41","5","12","OAK"
"42","3","6","OAK"
"43","16","10","TBR"
"44","3","2","TBR"
"45","4","0","TBR"
"46","0","6","OAK"
"47","3","9","OAK"
"48","1","5","OAK"
"49","4","11","OAK"
"50","7","3","TBR"
"51","0","0","OAK"
"52","4","1","TBR"
"53","2","2","TBR"
"54","3","9","OAK"
"55","1","13","OAK"
"56","4","1","TBR"
"57","1","9","OAK"
"58","9","6","TBR"
"59","4","4","TBR"
"60","6","1","TBR"
"61","8","7","TBR"
"62","4","1","TBR"
"63","2","4","OAK"
"64","5","8","OAK"
"65","1","11","OAK"
"66","5","1","TBR"
"67","8","9","OAK"
"68","2","2","OAK"
"69","1","3","OAK"
"70","6","6","OAK"
"71","5","7","OAK"
"72","5","9","OAK"
"73","5","6","OAK"
"74","4","4","TBR"
"75","2","6","OAK"
"76","4","4","OAK"
"77","12","3","TBR"
"78","0","4","OAK"
"79","1","1","OAK"
"80","6","4","TBR"
"81","1","4","OAK"
"82","4","5","OAK"
"83","4","1","TBR"
"84","5","13","OAK"
"85","4","6","OAK"
"86","4","10","OAK"
"87","2","11","OAK"
"88","7","6","TBR"
"89","3","3","OAK"
"90","6","13","OAK"
"91","7","1","TBR"
"92","4","5","OAK"
"93","4","4","OAK"
"94","7","3","TBR"
"95","4","5","OAK"
"96","4","5","OAK"
"97","5","2","TBR"
"98","6","1","TBR"
"99","6","2","TBR"
"100","3","2","TBR"
"101","2","2","OAK"
"102","4","5","OAK"
"103","2","3","OAK"
"104","10","8","TBR"
"105","4","1","TBR"
"106","7","5","TBR"
"107","2","4","OAK"
"108","2","4","OAK"
"109","2","10","OAK"
"110","3","4","OAK"
"111","2","4","OAK"
"112","9","6","TBR"
"113","3","1","TBR"
"114","3","2","TBR"
"115","1","2","OAK"
"116","6","4","TBR"
"117","10","6","TBR"
"118","2","7","OAK"
"119","4","9","OAK"
"120","1","9","OAK"
"121","8","5","TBR"
"122","6","7","OAK"
"123","3","6","OAK"
"124","10","11","OAK"
"125","3","0","TBR"
"126","5","0","TBR"
"127","10","14","OAK"
"128","2","10","OAK"
"129","4","10","OAK"
"130","4","3","TBR"
"131","5","5","TBR"
"132","5","2","TBR"
"133","5","6","OAK"
"134","5","6","OAK"
"135","5","5","OAK"
"136","1","7","OAK"
"137","8","4","TBR"
"138","3","4","OAK"
"139","3","2","TBR"
"140","7","2","TBR"
"141","2","5","OAK"
"142","7","15","OAK"
"143","3","4","OAK"
"144","2","9","OAK"
"145","1","4","OAK"
"146","15","8","TBR"
"147","12","8","TBR"
"148","2","2","TBR"
"149","4","2","TBR"
"150","1","4","OAK"
"151","3","5","OAK"
"152","12","10","TBR"
"153","12","7","TBR"
"154","16","6","TBR"
"155","11","12","OAK"
"156","4","11","OAK"
"157","6","8","OAK"
"158","3","3","OAK"
"159","3","6","OAK"
"160","4","1","TBR"
"161","14","7","TBR"
"162","1","2","OAK"
"163","11","0","TBR"
"164","3","8","OAK"
"165","6","6","TBR"
"166","8","6","TBR"
"167","3","8","OAK"
"168","11","4","TBR"
"169","7","2","TBR"
"170","7","1","TBR"
"171","2","8","OAK"
"172","5","9","OAK"
"173","4","13","OAK"
"174","10","10","OAK"
"175","10","3","TBR"
"176","6","2","TBR"
"177","8","8","OAK"
"178","3","3","TBR"
"179","2","5","OAK"
"180","6","2","TBR"
"181","7","9","OAK"
"182","2","7","OAK"
"183","6","12","OAK"
"184","1","11","OAK"
"185","2","0","TBR"
"186","2","6","OAK"
"187","1","7","OAK"
"188","3","6","OAK"
"189","5","1","TBR"
"190","7","4","TBR"
"191","7","0","TBR"
"192","1","1","OAK"
"193","6","6","TBR"
"194","4","2","TBR"
"195","4","5","OAK"
"196","7","1","TBR"
"197","4","12","OAK"
"198","0","0","OAK"
"199","11","0","TBR"
"200","6","5","TBR"
"201","0","4","OAK"
"202","10","6","TBR"
"203","8","6","TBR"
"204","2","5","OAK"
"205","6","4","TBR"
"206","5","9","OAK"
"207","4","4","TBR"
"208","3","6","OAK"
"209","3","8","OAK"
"210","5","10","OAK"
"211","7","13","OAK"
"212","1","1","OAK"
"213","8","1","TBR"
"214","4","1","TBR"
"215","5","6","OAK"
"216","1","17","OAK"
"217","4","7","OAK"
"218","7","4","TBR"
"219","6","5","TBR"
"220","4","7","OAK"
"221","5","5","TBR"
"222","3","4","OAK"
"223","3","3","TBR"
"224","4","1","TBR"
"225","3","3","OAK"
"226","6","3","TBR"
"227","15","9","TBR"
"228","2","3","OAK"
"229","8","2","TBR"
"230","8","2","TBR"
"231","5","10","OAK"
"232","5","4","TBR"
"233","7","3","TBR"
"234","5","7","OAK"
