"","STL","ATL","Series Winner"
"1","3","0","STL"
"2","3","2","STL"
"3","2","3","ATL"
"4","3","0","STL"
"5","0","3","ATL"
"6","3","2","STL"
"7","2","3","ATL"
"8","1","3","ATL"
"9","1","3","ATL"
"10","3","1","STL"
"11","1","3","ATL"
"12","2","3","ATL"
"13","3","0","STL"
"14","2","3","ATL"
"15","3","2","STL"
"16","2","3","ATL"
"17","2","3","ATL"
"18","0","3","ATL"
"19","3","1","STL"
"20","1","3","ATL"
"21","3","2","STL"
"22","1","3","ATL"
"23","2","3","ATL"
"24","3","0","STL"
"25","1","3","ATL"
"26","2","3","ATL"
"27","3","2","STL"
"28","1","3","ATL"
"29","3","2","STL"
"30","3","0","STL"
"31","0","3","ATL"
"32","3","1","STL"
"33","0","3","ATL"
"34","1","3","ATL"
"35","3","1","STL"
"36","1","3","ATL"
"37","3","2","STL"
"38","2","3","ATL"
"39","2","3","ATL"
"40","1","3","ATL"
"41","1","3","ATL"
"42","2","3","ATL"
"43","0","3","ATL"
"44","1","3","ATL"
"45","2","3","ATL"
"46","3","2","STL"
"47","0","3","ATL"
"48","3","1","STL"
"49","2","3","ATL"
"50","2","3","ATL"
"51","0","3","ATL"
"52","0","3","ATL"
"53","3","2","STL"
"54","2","3","ATL"
"55","3","2","STL"
"56","2","3","ATL"
"57","1","3","ATL"
"58","3","1","STL"
"59","1","3","ATL"
"60","3","0","STL"
"61","0","3","ATL"
"62","3","2","STL"
"63","3","2","STL"
"64","2","3","ATL"
"65","3","2","STL"
"66","2","3","ATL"
"67","3","1","STL"
"68","2","3","ATL"
"69","1","3","ATL"
"70","1","3","ATL"
"71","0","3","ATL"
"72","1","3","ATL"
"73","1","3","ATL"
"74","1","3","ATL"
"75","3","1","STL"
"76","0","3","ATL"
"77","2","3","ATL"
"78","0","3","ATL"
"79","3","2","STL"
"80","3","1","STL"
"81","3","0","STL"
"82","3","0","STL"
"83","2","3","ATL"
"84","2","3","ATL"
"85","0","3","ATL"
"86","3","1","STL"
"87","3","2","STL"
"88","3","0","STL"
"89","3","2","STL"
"90","2","3","ATL"
"91","1","3","ATL"
"92","3","0","STL"
"93","3","2","STL"
"94","2","3","ATL"
"95","2","3","ATL"
"96","2","3","ATL"
"97","3","2","STL"
"98","3","2","STL"
"99","0","3","ATL"
"100","3","1","STL"
"101","3","2","STL"
"102","3","2","STL"
"103","3","2","STL"
"104","1","3","ATL"
"105","3","0","STL"
"106","1","3","ATL"
"107","1","3","ATL"
"108","2","3","ATL"
"109","0","3","ATL"
"110","1","3","ATL"
"111","3","0","STL"
"112","3","2","STL"
"113","1","3","ATL"
"114","0","3","ATL"
"115","3","2","STL"
"116","2","3","ATL"
"117","3","1","STL"
"118","1","3","ATL"
"119","3","2","STL"
"120","1","3","ATL"
"121","2","3","ATL"
"122","3","0","STL"
"123","2","3","ATL"
"124","0","3","ATL"
"125","2","3","ATL"
