"","MIL","LAD","Series Winner"
"1","1","3","LAD"
"2","3","0","MIL"
"3","0","3","LAD"
"4","1","3","LAD"
"5","1","3","LAD"
"6","2","3","LAD"
"7","2","3","LAD"
"8","0","3","LAD"
"9","0","3","LAD"
"10","1","3","LAD"
"11","2","3","LAD"
"12","0","3","LAD"
"13","3","1","MIL"
"14","0","3","LAD"
"15","0","3","LAD"
"16","1","3","LAD"
"17","0","3","LAD"
"18","2","3","LAD"
"19","2","3","LAD"
"20","0","3","LAD"
"21","1","3","LAD"
"22","1","3","LAD"
"23","1","3","LAD"
"24","2","3","LAD"
"25","1","3","LAD"
"26","1","3","LAD"
"27","1","3","LAD"
"28","2","3","LAD"
"29","3","0","MIL"
"30","0","3","LAD"
"31","0","3","LAD"
"32","0","3","LAD"
"33","3","1","MIL"
"34","0","3","LAD"
"35","1","3","LAD"
"36","2","3","LAD"
"37","3","2","MIL"
"38","2","3","LAD"
"39","3","1","MIL"
"40","0","3","LAD"
"41","0","3","LAD"
"42","3","1","MIL"
"43","0","3","LAD"
"44","0","3","LAD"
"45","0","3","LAD"
"46","2","3","LAD"
"47","1","3","LAD"
"48","2","3","LAD"
"49","1","3","LAD"
"50","1","3","LAD"
"51","2","3","LAD"
"52","3","2","MIL"
"53","0","3","LAD"
"54","1","3","LAD"
"55","3","1","MIL"
"56","1","3","LAD"
"57","3","1","MIL"
"58","0","3","LAD"
"59","2","3","LAD"
"60","1","3","LAD"
"61","0","3","LAD"
"62","0","3","LAD"
"63","1","3","LAD"
"64","1","3","LAD"
"65","1","3","LAD"
"66","0","3","LAD"
"67","1","3","LAD"
"68","0","3","LAD"
"69","1","3","LAD"
"70","0","3","LAD"
"71","1","3","LAD"
"72","3","2","MIL"
"73","2","3","LAD"
"74","0","3","LAD"
"75","1","3","LAD"
"76","0","3","LAD"
"77","1","3","LAD"
"78","0","3","LAD"
"79","2","3","LAD"
"80","0","3","LAD"
"81","1","3","LAD"
"82","1","3","LAD"
"83","0","3","LAD"
"84","2","3","LAD"
"85","0","3","LAD"
"86","1","3","LAD"
"87","0","3","LAD"
"88","0","3","LAD"
"89","0","3","LAD"
"90","0","3","LAD"
"91","1","3","LAD"
"92","1","3","LAD"
"93","2","3","LAD"
"94","0","3","LAD"
"95","1","3","LAD"
"96","2","3","LAD"
"97","3","0","MIL"
"98","0","3","LAD"
"99","1","3","LAD"
"100","2","3","LAD"
"101","3","2","MIL"
"102","0","3","LAD"
"103","0","3","LAD"
"104","0","3","LAD"
"105","0","3","LAD"
