"","WSN","LAD","Series Winner"
"1","3","1","WSN"
"2","0","3","LAD"
"3","1","3","LAD"
"4","3","1","WSN"
"5","3","2","WSN"
"6","1","3","LAD"
"7","2","3","LAD"
"8","1","3","LAD"
"9","2","3","LAD"
"10","1","3","LAD"
"11","3","1","WSN"
"12","3","1","WSN"
"13","1","3","LAD"
"14","1","3","LAD"
"15","2","3","LAD"
"16","3","1","WSN"
"17","3","0","WSN"
"18","0","3","LAD"
"19","3","2","WSN"
"20","3","2","WSN"
"21","0","3","LAD"
"22","2","3","LAD"
"23","1","3","LAD"
"24","3","0","WSN"
"25","1","3","LAD"
"26","1","3","LAD"
"27","0","3","LAD"
"28","0","3","LAD"
"29","3","1","WSN"
"30","2","3","LAD"
"31","3","0","WSN"
"32","0","3","LAD"
"33","0","3","LAD"
"34","0","3","LAD"
"35","1","3","LAD"
"36","2","3","LAD"
"37","1","3","LAD"
"38","3","1","WSN"
"39","3","1","WSN"
"40","3","2","WSN"
"41","2","3","LAD"
"42","1","3","LAD"
"43","3","1","WSN"
"44","0","3","LAD"
"45","1","3","LAD"
"46","2","3","LAD"
"47","1","3","LAD"
"48","2","3","LAD"
"49","2","3","LAD"
"50","2","3","LAD"
"51","0","3","LAD"
"52","1","3","LAD"
"53","2","3","LAD"
"54","3","1","WSN"
"55","2","3","LAD"
"56","3","2","WSN"
"57","3","1","WSN"
"58","0","3","LAD"
"59","3","1","WSN"
"60","2","3","LAD"
"61","1","3","LAD"
"62","0","3","LAD"
"63","1","3","LAD"
"64","3","1","WSN"
"65","3","2","WSN"
"66","3","1","WSN"
"67","2","3","LAD"
"68","1","3","LAD"
"69","0","3","LAD"
"70","2","3","LAD"
"71","2","3","LAD"
"72","3","1","WSN"
"73","0","3","LAD"
"74","1","3","LAD"
"75","3","1","WSN"
"76","3","1","WSN"
"77","2","3","LAD"
"78","3","1","WSN"
"79","1","3","LAD"
"80","3","2","WSN"
"81","1","3","LAD"
"82","3","2","WSN"
"83","3","1","WSN"
"84","0","3","LAD"
"85","1","3","LAD"
"86","0","3","LAD"
"87","3","2","WSN"
"88","1","3","LAD"
"89","3","2","WSN"
"90","2","3","LAD"
"91","2","3","LAD"
"92","1","3","LAD"
"93","2","3","LAD"
"94","3","2","WSN"
"95","3","2","WSN"
"96","2","3","LAD"
"97","3","1","WSN"
"98","2","3","LAD"
"99","1","3","LAD"
"100","2","3","LAD"
"101","1","3","LAD"
"102","0","3","LAD"
"103","2","3","LAD"
"104","1","3","LAD"
"105","2","3","LAD"
"106","1","3","LAD"
"107","2","3","LAD"
"108","2","3","LAD"
"109","2","3","LAD"
"110","1","3","LAD"
"111","3","1","WSN"
"112","1","3","LAD"
"113","0","3","LAD"
"114","3","1","WSN"
"115","0","3","LAD"
"116","2","3","LAD"
"117","1","3","LAD"
"118","3","2","WSN"
"119","3","1","WSN"
"120","1","3","LAD"
"121","2","3","LAD"
"122","3","2","WSN"
"123","3","1","WSN"
"124","2","3","LAD"
"125","1","3","LAD"
"126","2","3","LAD"
"127","0","3","LAD"
"128","3","1","WSN"
"129","0","3","LAD"
"130","1","3","LAD"
"131","2","3","LAD"
"132","2","3","LAD"
"133","0","3","LAD"
"134","3","0","WSN"
"135","2","3","LAD"
"136","3","2","WSN"
"137","3","1","WSN"
"138","1","3","LAD"
"139","1","3","LAD"
"140","2","3","LAD"
"141","3","0","WSN"
"142","0","3","LAD"
"143","3","0","WSN"
"144","3","1","WSN"
"145","3","2","WSN"
"146","0","3","LAD"
"147","2","3","LAD"
"148","3","2","WSN"
"149","3","0","WSN"
"150","3","1","WSN"
"151","2","3","LAD"
"152","0","3","LAD"
"153","2","3","LAD"
"154","0","3","LAD"
"155","2","3","LAD"
"156","1","3","LAD"
"157","1","3","LAD"
"158","1","3","LAD"
"159","3","2","WSN"
"160","2","3","LAD"
"161","2","3","LAD"
"162","1","3","LAD"
"163","1","3","LAD"
"164","0","3","LAD"
"165","3","2","WSN"
"166","1","3","LAD"
"167","0","3","LAD"
"168","2","3","LAD"
"169","3","1","WSN"
"170","0","3","LAD"
"171","3","1","WSN"
"172","0","3","LAD"
"173","2","3","LAD"
"174","2","3","LAD"
"175","1","3","LAD"
"176","1","3","LAD"
"177","0","3","LAD"
"178","1","3","LAD"
"179","3","1","WSN"
"180","3","0","WSN"
"181","3","0","WSN"
"182","3","2","WSN"
"183","2","3","LAD"
"184","3","1","WSN"
"185","0","3","LAD"
"186","2","3","LAD"
"187","2","3","LAD"
"188","2","3","LAD"
"189","2","3","LAD"
"190","0","3","LAD"
"191","1","3","LAD"
"192","3","0","WSN"
"193","3","1","WSN"
"194","0","3","LAD"
"195","2","3","LAD"
"196","2","3","LAD"
"197","1","3","LAD"
"198","1","3","LAD"
"199","3","2","WSN"
"200","2","3","LAD"
"201","1","3","LAD"
"202","3","1","WSN"
"203","1","3","LAD"
"204","2","3","LAD"
"205","1","3","LAD"
"206","3","1","WSN"
"207","3","1","WSN"
"208","2","3","LAD"
"209","2","3","LAD"
"210","3","1","WSN"
"211","2","3","LAD"
"212","2","3","LAD"
"213","2","3","LAD"
"214","1","3","LAD"
"215","2","3","LAD"
"216","3","1","WSN"
"217","0","3","LAD"
"218","1","3","LAD"
"219","1","3","LAD"
"220","1","3","LAD"
"221","3","1","WSN"
"222","2","3","LAD"
"223","0","3","LAD"
"224","1","3","LAD"
"225","1","3","LAD"
"226","3","2","WSN"
"227","2","3","LAD"
"228","0","3","LAD"
"229","1","3","LAD"
"230","2","3","LAD"
"231","2","3","LAD"
"232","3","0","WSN"
"233","3","1","WSN"
"234","2","3","LAD"
"235","2","3","LAD"
"236","2","3","LAD"
"237","2","3","LAD"
"238","3","1","WSN"
"239","1","3","LAD"
"240","3","1","WSN"
"241","0","3","LAD"
"242","2","3","LAD"
"243","2","3","LAD"
"244","0","3","LAD"
"245","3","0","WSN"
"246","1","3","LAD"
"247","2","3","LAD"
"248","2","3","LAD"
"249","0","3","LAD"
"250","1","3","LAD"
"251","1","3","LAD"
"252","0","3","LAD"
"253","0","3","LAD"
"254","0","3","LAD"
"255","1","3","LAD"
"256","1","3","LAD"
"257","3","1","WSN"
"258","2","3","LAD"
"259","0","3","LAD"
"260","3","1","WSN"
"261","2","3","LAD"
"262","0","3","LAD"
"263","0","3","LAD"
"264","3","1","WSN"
"265","2","3","LAD"
"266","3","1","WSN"
"267","2","3","LAD"
"268","0","3","LAD"
"269","3","0","WSN"
"270","1","3","LAD"
"271","2","3","LAD"
"272","3","1","WSN"
"273","1","3","LAD"
"274","1","3","LAD"
"275","1","3","LAD"
"276","0","3","LAD"
"277","3","0","WSN"
"278","3","1","WSN"
"279","1","3","LAD"
"280","0","3","LAD"
"281","2","3","LAD"
"282","2","3","LAD"
"283","0","3","LAD"
"284","3","0","WSN"
"285","3","2","WSN"
"286","3","1","WSN"
"287","0","3","LAD"
"288","2","3","LAD"
"289","1","3","LAD"
"290","2","3","LAD"
"291","1","3","LAD"
"292","3","1","WSN"
"293","0","3","LAD"
"294","2","3","LAD"
"295","2","3","LAD"
"296","2","3","LAD"
"297","2","3","LAD"
"298","0","3","LAD"
"299","1","3","LAD"
"300","3","2","WSN"
"301","3","0","WSN"
"302","0","3","LAD"
"303","0","3","LAD"
"304","0","3","LAD"
"305","1","3","LAD"
"306","0","3","LAD"
"307","0","3","LAD"
"308","2","3","LAD"
"309","2","3","LAD"
"310","3","1","WSN"
"311","0","3","LAD"
"312","0","3","LAD"
"313","0","3","LAD"
"314","3","2","WSN"
"315","2","3","LAD"
"316","2","3","LAD"
"317","3","0","WSN"
"318","3","0","WSN"
"319","2","3","LAD"
"320","1","3","LAD"
"321","2","3","LAD"
"322","1","3","LAD"
"323","1","3","LAD"
"324","3","1","WSN"
"325","2","3","LAD"
"326","1","3","LAD"
"327","0","3","LAD"
"328","2","3","LAD"
"329","2","3","LAD"
"330","1","3","LAD"
"331","2","3","LAD"
"332","1","3","LAD"
"333","2","3","LAD"
"334","2","3","LAD"
"335","2","3","LAD"
"336","0","3","LAD"
"337","3","1","WSN"
"338","1","3","LAD"
"339","0","3","LAD"
"340","1","3","LAD"
"341","2","3","LAD"
"342","1","3","LAD"
"343","3","2","WSN"
"344","0","3","LAD"
"345","2","3","LAD"
"346","2","3","LAD"
"347","0","3","LAD"
"348","0","3","LAD"
"349","3","0","WSN"
"350","1","3","LAD"
"351","2","3","LAD"
"352","3","1","WSN"
"353","1","3","LAD"
"354","0","3","LAD"
"355","2","3","LAD"
"356","3","2","WSN"
"357","1","3","LAD"
"358","0","3","LAD"
"359","3","1","WSN"
"360","3","1","WSN"
"361","2","3","LAD"
"362","2","3","LAD"
"363","1","3","LAD"
"364","2","3","LAD"
"365","3","2","WSN"
"366","2","3","LAD"
"367","2","3","LAD"
"368","1","3","LAD"
"369","0","3","LAD"
"370","2","3","LAD"
"371","2","3","LAD"
"372","0","3","LAD"
"373","1","3","LAD"
"374","1","3","LAD"
"375","2","3","LAD"
"376","1","3","LAD"
"377","2","3","LAD"
"378","1","3","LAD"
"379","3","1","WSN"
"380","3","2","WSN"
"381","3","2","WSN"
"382","0","3","LAD"
"383","2","3","LAD"
"384","0","3","LAD"
"385","0","3","LAD"
"386","0","3","LAD"
"387","0","3","LAD"
"388","0","3","LAD"
"389","0","3","LAD"
"390","0","3","LAD"
"391","3","0","WSN"
"392","2","3","LAD"
"393","2","3","LAD"
"394","3","2","WSN"
"395","0","3","LAD"
"396","3","1","WSN"
"397","3","1","WSN"
"398","2","3","LAD"
"399","0","3","LAD"
"400","0","3","LAD"
"401","1","3","LAD"
"402","0","3","LAD"
"403","1","3","LAD"
"404","1","3","LAD"
"405","1","3","LAD"
"406","2","3","LAD"
"407","3","2","WSN"
"408","3","1","WSN"
"409","2","3","LAD"
"410","2","3","LAD"
"411","1","3","LAD"
"412","1","3","LAD"
"413","3","1","WSN"
"414","3","1","WSN"
"415","2","3","LAD"
"416","2","3","LAD"
"417","2","3","LAD"
"418","2","3","LAD"
"419","2","3","LAD"
"420","0","3","LAD"
"421","0","3","LAD"
"422","3","1","WSN"
"423","1","3","LAD"
"424","1","3","LAD"
"425","3","1","WSN"
"426","2","3","LAD"
"427","2","3","LAD"
"428","3","2","WSN"
"429","1","3","LAD"
"430","1","3","LAD"
"431","2","3","LAD"
"432","3","1","WSN"
"433","1","3","LAD"
"434","0","3","LAD"
"435","0","3","LAD"
"436","3","1","WSN"
"437","3","1","WSN"
"438","3","0","WSN"
"439","2","3","LAD"
"440","3","2","WSN"
"441","3","2","WSN"
"442","3","1","WSN"
"443","3","2","WSN"
"444","3","0","WSN"
"445","1","3","LAD"
"446","0","3","LAD"
"447","2","3","LAD"
"448","1","3","LAD"
"449","3","1","WSN"
"450","3","2","WSN"
"451","1","3","LAD"
"452","1","3","LAD"
"453","1","3","LAD"
"454","2","3","LAD"
"455","0","3","LAD"
"456","0","3","LAD"
"457","0","3","LAD"
"458","3","1","WSN"
"459","1","3","LAD"
"460","0","3","LAD"
"461","3","1","WSN"
"462","0","3","LAD"
"463","0","3","LAD"
"464","0","3","LAD"
"465","2","3","LAD"
"466","1","3","LAD"
"467","1","3","LAD"
"468","2","3","LAD"
"469","2","3","LAD"
"470","3","1","WSN"
"471","0","3","LAD"
"472","2","3","LAD"
"473","0","3","LAD"
"474","3","1","WSN"
"475","2","3","LAD"
"476","3","1","WSN"
