"","MIL","WSN","Winner"
"1","5","6","WSN"
"2","2","1","MIL"
"3","8","3","MIL"
"4","0","2","WSN"
"5","6","1","MIL"
"6","7","3","MIL"
"7","0","7","WSN"
"8","8","7","MIL"
"9","4","3","MIL"
"10","6","8","WSN"
"11","3","1","MIL"
"12","2","3","WSN"
"13","4","7","WSN"
"14","7","0","MIL"
"15","10","3","MIL"
"16","7","2","MIL"
"17","2","2","WSN"
"18","1","3","WSN"
"19","5","11","WSN"
"20","8","1","MIL"
"21","4","3","MIL"
"22","5","0","MIL"
"23","3","0","MIL"
"24","6","0","MIL"
"25","3","7","WSN"
"26","5","1","MIL"
"27","2","7","WSN"
"28","5","2","MIL"
"29","5","7","WSN"
"30","7","2","MIL"
"31","9","1","MIL"
"32","4","2","MIL"
"33","14","3","MIL"
"34","10","1","MIL"
"35","9","5","MIL"
"36","3","3","MIL"
"37","4","2","MIL"
"38","1","1","WSN"
"39","7","5","MIL"
"40","1","6","WSN"
"41","2","5","WSN"
"42","5","1","MIL"
"43","0","3","WSN"
"44","8","2","MIL"
"45","11","3","MIL"
"46","9","4","MIL"
"47","2","1","MIL"
"48","10","6","MIL"
"49","3","0","MIL"
"50","5","3","MIL"
"51","6","9","WSN"
"52","3","3","WSN"
"53","8","0","MIL"
"54","2","5","WSN"
"55","7","3","MIL"
"56","10","6","MIL"
"57","4","0","MIL"
"58","4","3","MIL"
"59","4","4","WSN"
"60","3","1","MIL"
"61","9","2","MIL"
"62","6","0","MIL"
"63","3","5","WSN"
"64","8","0","MIL"
"65","5","3","MIL"
"66","14","1","MIL"
"67","1","1","WSN"
"68","6","3","MIL"
"69","2","0","MIL"
"70","5","9","WSN"
"71","0","11","WSN"
"72","4","5","WSN"
"73","3","8","WSN"
"74","2","1","MIL"
"75","0","3","WSN"
"76","6","0","MIL"
"77","5","4","MIL"
"78","1","3","WSN"
"79","3","2","MIL"
"80","8","1","MIL"
"81","8","1","MIL"
"82","4","3","MIL"
"83","3","2","MIL"
"84","5","2","MIL"
"85","3","1","MIL"
"86","3","3","WSN"
"87","9","9","WSN"
"88","4","0","MIL"
"89","4","0","MIL"
"90","7","1","MIL"
"91","4","3","MIL"
"92","7","1","MIL"
"93","6","3","MIL"
"94","4","1","MIL"
"95","4","3","MIL"
"96","8","0","MIL"
"97","2","3","WSN"
"98","4","4","WSN"
"99","4","5","WSN"
"100","4","0","MIL"
"101","7","2","MIL"
"102","5","3","MIL"
"103","7","2","MIL"
"104","3","6","WSN"
"105","7","1","MIL"
"106","3","7","WSN"
"107","4","5","WSN"
"108","7","5","MIL"
"109","5","2","MIL"
"110","7","6","MIL"
"111","4","5","WSN"
"112","10","5","MIL"
"113","7","1","MIL"
"114","7","4","MIL"
"115","3","2","MIL"
"116","10","1","MIL"
"117","6","3","MIL"
"118","10","2","MIL"
"119","1","9","WSN"
"120","0","1","WSN"
"121","4","2","MIL"
"122","6","3","MIL"
"123","2","4","WSN"
"124","4","1","MIL"
"125","4","3","MIL"
"126","2","1","MIL"
"127","2","6","WSN"
"128","0","4","WSN"
"129","3","6","WSN"
"130","4","4","WSN"
"131","3","2","MIL"
"132","3","0","MIL"
"133","0","3","WSN"
"134","4","3","MIL"
"135","2","4","WSN"
"136","5","6","WSN"
"137","3","5","WSN"
"138","5","2","MIL"
"139","6","7","WSN"
"140","15","5","MIL"
"141","10","7","MIL"
"142","4","6","WSN"
"143","2","0","MIL"
"144","4","2","MIL"
"145","8","2","MIL"
"146","2","1","MIL"
"147","0","2","WSN"
"148","8","0","MIL"
"149","5","4","MIL"
"150","0","3","WSN"
"151","4","4","WSN"
"152","5","4","MIL"
"153","3","0","MIL"
"154","1","1","WSN"
"155","2","5","WSN"
"156","5","1","MIL"
"157","11","3","MIL"
"158","6","1","MIL"
"159","7","4","MIL"
"160","2","1","MIL"
"161","4","3","MIL"
"162","6","2","MIL"
"163","8","1","MIL"
"164","5","0","MIL"
"165","3","2","MIL"
"166","10","0","MIL"
"167","3","8","WSN"
"168","5","2","MIL"
"169","1","6","WSN"
"170","4","4","WSN"
"171","4","0","MIL"
"172","9","0","MIL"
"173","3","4","WSN"
"174","7","2","MIL"
"175","7","1","MIL"
"176","10","1","MIL"
"177","5","1","MIL"
"178","2","2","MIL"
"179","1","1","MIL"
"180","6","3","MIL"
"181","8","5","MIL"
"182","4","6","WSN"
"183","0","1","WSN"
"184","6","7","WSN"
"185","12","6","MIL"
"186","2","10","WSN"
"187","10","0","MIL"
"188","6","3","MIL"
"189","11","1","MIL"
"190","1","4","WSN"
"191","3","0","MIL"
"192","8","4","MIL"
"193","1","2","WSN"
"194","8","2","MIL"
"195","3","5","WSN"
"196","4","4","MIL"
"197","4","2","MIL"
"198","8","7","MIL"
"199","4","4","WSN"
"200","4","6","WSN"
"201","6","2","MIL"
"202","6","2","MIL"
"203","7","5","MIL"
"204","4","2","MIL"
"205","1","8","WSN"
"206","2","1","MIL"
"207","8","11","WSN"
"208","2","0","MIL"
"209","4","2","MIL"
"210","8","10","WSN"
"211","2","4","WSN"
"212","6","1","MIL"
"213","6","4","MIL"
"214","10","3","MIL"
"215","4","0","MIL"
"216","1","1","WSN"
"217","10","2","MIL"
"218","2","3","WSN"
"219","6","1","MIL"
"220","9","4","MIL"
"221","1","1","WSN"
"222","4","2","MIL"
"223","2","0","MIL"
"224","7","0","MIL"
"225","5","1","MIL"
"226","1","0","MIL"
"227","5","1","MIL"
"228","9","2","MIL"
"229","3","0","MIL"
"230","0","3","WSN"
"231","3","3","MIL"
"232","5","2","MIL"
"233","2","3","WSN"
"234","4","8","WSN"
"235","15","3","MIL"
"236","5","0","MIL"
"237","7","7","MIL"
"238","7","4","MIL"
"239","3","2","MIL"
"240","9","2","MIL"
"241","7","2","MIL"
"242","2","1","MIL"
"243","4","4","WSN"
