"","MIL","NYY","Champion"
"1","2","4","NYY"
"2","2","4","NYY"
"3","4","3","MIL"
"4","4","3","MIL"
"5","1","4","NYY"
"6","1","4","NYY"
"7","3","4","NYY"
"8","4","1","MIL"
"9","4","2","MIL"
"10","3","4","NYY"
"11","2","4","NYY"
"12","1","4","NYY"
"13","4","1","MIL"
"14","4","3","MIL"
"15","2","4","NYY"
"16","2","4","NYY"
"17","2","4","NYY"
"18","2","4","NYY"
"19","0","4","NYY"
"20","4","3","MIL"
"21","2","4","NYY"
"22","2","4","NYY"
"23","3","4","NYY"
"24","2","4","NYY"
"25","2","4","NYY"
"26","0","4","NYY"
"27","4","0","MIL"
"28","2","4","NYY"
"29","1","4","NYY"
"30","2","4","NYY"
"31","3","4","NYY"
"32","0","4","NYY"
"33","0","4","NYY"
"34","4","1","MIL"
"35","4","1","MIL"
"36","3","4","NYY"
"37","1","4","NYY"
"38","4","0","MIL"
"39","0","4","NYY"
"40","0","4","NYY"
"41","4","2","MIL"
"42","3","4","NYY"
"43","4","2","MIL"
"44","2","4","NYY"
"45","1","4","NYY"
"46","3","4","NYY"
"47","1","4","NYY"
"48","3","4","NYY"
"49","0","4","NYY"
"50","2","4","NYY"
"51","4","2","MIL"
"52","4","3","MIL"
"53","3","4","NYY"
"54","0","4","NYY"
"55","4","1","MIL"
"56","2","4","NYY"
"57","3","4","NYY"
"58","1","4","NYY"
"59","3","4","NYY"
"60","1","4","NYY"
"61","3","4","NYY"
"62","4","1","MIL"
"63","3","4","NYY"
"64","2","4","NYY"
"65","4","2","MIL"
"66","2","4","NYY"
"67","3","4","NYY"
"68","4","3","MIL"
"69","0","4","NYY"
"70","4","2","MIL"
"71","2","4","NYY"
"72","3","4","NYY"
"73","3","4","NYY"
"74","2","4","NYY"
"75","0","4","NYY"
"76","3","4","NYY"
"77","4","2","MIL"
"78","1","4","NYY"
"79","4","1","MIL"
"80","2","4","NYY"
"81","3","4","NYY"
"82","4","1","MIL"
"83","2","4","NYY"
"84","4","2","MIL"
"85","0","4","NYY"
"86","4","2","MIL"
"87","4","3","MIL"
"88","2","4","NYY"
"89","3","4","NYY"
"90","0","4","NYY"
"91","3","4","NYY"
"92","4","3","MIL"
"93","4","2","MIL"
"94","4","1","MIL"
"95","4","2","MIL"
"96","1","4","NYY"
"97","4","1","MIL"
"98","2","4","NYY"
"99","1","4","NYY"
"100","4","3","MIL"
"101","1","4","NYY"
"102","2","4","NYY"
"103","0","4","NYY"
"104","0","4","NYY"
"105","3","4","NYY"
"106","2","4","NYY"
"107","1","4","NYY"
"108","3","4","NYY"
"109","2","4","NYY"
"110","3","4","NYY"
"111","3","4","NYY"
"112","4","3","MIL"
"113","0","4","NYY"
"114","4","2","MIL"
"115","4","0","MIL"
"116","3","4","NYY"
"117","4","2","MIL"
"118","4","2","MIL"
"119","0","4","NYY"
"120","1","4","NYY"
"121","2","4","NYY"
"122","1","4","NYY"
"123","4","3","MIL"
"124","4","3","MIL"
"125","0","4","NYY"
"126","1","4","NYY"
"127","4","1","MIL"
"128","4","2","MIL"
"129","1","4","NYY"
"130","1","4","NYY"
"131","1","4","NYY"
