"","WSN","NYY","Champion"
"1","1","4","NYY"
"2","4","2","WSN"
"3","3","4","NYY"
"4","3","4","NYY"
"5","4","3","WSN"
"6","4","2","WSN"
"7","1","4","NYY"
"8","3","4","NYY"
"9","2","4","NYY"
"10","3","4","NYY"
"11","4","0","WSN"
"12","2","4","NYY"
"13","1","4","NYY"
"14","0","4","NYY"
"15","4","1","WSN"
"16","4","3","WSN"
"17","4","2","WSN"
"18","4","1","WSN"
"19","3","4","NYY"
"20","4","2","WSN"
"21","3","4","NYY"
"22","4","2","WSN"
"23","3","4","NYY"
"24","4","2","WSN"
"25","4","3","WSN"
"26","2","4","NYY"
"27","4","0","WSN"
"28","3","4","NYY"
"29","1","4","NYY"
"30","2","4","NYY"
"31","4","1","WSN"
"32","4","3","WSN"
"33","0","4","NYY"
"34","4","0","WSN"
"35","3","4","NYY"
"36","4","1","WSN"
"37","4","0","WSN"
"38","4","2","WSN"
"39","1","4","NYY"
"40","4","2","WSN"
"41","4","3","WSN"
"42","4","2","WSN"
"43","3","4","NYY"
"44","4","3","WSN"
"45","4","1","WSN"
"46","4","3","WSN"
"47","0","4","NYY"
"48","4","3","WSN"
"49","2","4","NYY"
"50","4","0","WSN"
"51","4","3","WSN"
"52","1","4","NYY"
"53","4","0","WSN"
"54","1","4","NYY"
"55","4","2","WSN"
"56","0","4","NYY"
"57","4","3","WSN"
"58","4","0","WSN"
"59","3","4","NYY"
"60","1","4","NYY"
"61","1","4","NYY"
"62","2","4","NYY"
"63","4","1","WSN"
"64","1","4","NYY"
"65","4","3","WSN"
"66","4","2","WSN"
"67","4","3","WSN"
"68","4","3","WSN"
"69","4","2","WSN"
"70","4","2","WSN"
"71","4","3","WSN"
"72","2","4","NYY"
"73","3","4","NYY"
"74","4","1","WSN"
"75","4","3","WSN"
"76","4","2","WSN"
"77","4","3","WSN"
"78","4","3","WSN"
"79","4","2","WSN"
"80","2","4","NYY"
"81","3","4","NYY"
"82","2","4","NYY"
"83","4","0","WSN"
"84","3","4","NYY"
"85","1","4","NYY"
"86","4","2","WSN"
"87","4","2","WSN"
"88","3","4","NYY"
"89","2","4","NYY"
"90","4","1","WSN"
"91","4","2","WSN"
"92","4","1","WSN"
"93","2","4","NYY"
"94","1","4","NYY"
"95","3","4","NYY"
"96","4","2","WSN"
"97","4","2","WSN"
"98","3","4","NYY"
"99","4","1","WSN"
"100","4","2","WSN"
"101","4","2","WSN"
"102","3","4","NYY"
"103","1","4","NYY"
"104","4","1","WSN"
"105","3","4","NYY"
"106","0","4","NYY"
"107","4","1","WSN"
"108","3","4","NYY"
"109","3","4","NYY"
"110","4","1","WSN"
"111","4","3","WSN"
"112","4","3","WSN"
"113","4","2","WSN"
"114","3","4","NYY"
"115","4","3","WSN"
"116","2","4","NYY"
"117","3","4","NYY"
"118","1","4","NYY"
"119","1","4","NYY"
"120","4","2","WSN"
"121","0","4","NYY"
"122","4","2","WSN"
"123","0","4","NYY"
"124","4","2","WSN"
"125","4","2","WSN"
"126","1","4","NYY"
"127","4","3","WSN"
"128","2","4","NYY"
"129","4","2","WSN"
"130","4","2","WSN"
"131","3","4","NYY"
"132","4","1","WSN"
"133","4","3","WSN"
"134","4","3","WSN"
"135","4","1","WSN"
"136","4","2","WSN"
"137","4","3","WSN"
"138","1","4","NYY"
"139","4","1","WSN"
"140","3","4","NYY"
"141","1","4","NYY"
"142","4","1","WSN"
"143","4","2","WSN"
"144","4","1","WSN"
"145","2","4","NYY"
"146","4","1","WSN"
"147","4","3","WSN"
"148","4","3","WSN"
"149","4","2","WSN"
"150","3","4","NYY"
"151","4","3","WSN"
"152","4","1","WSN"
"153","4","1","WSN"
"154","3","4","NYY"
"155","4","0","WSN"
"156","3","4","NYY"
"157","4","3","WSN"
"158","4","1","WSN"
"159","1","4","NYY"
"160","4","2","WSN"
"161","4","3","WSN"
"162","1","4","NYY"
"163","2","4","NYY"
"164","4","2","WSN"
"165","4","1","WSN"
"166","2","4","NYY"
"167","2","4","NYY"
"168","4","3","WSN"
"169","3","4","NYY"
"170","4","0","WSN"
"171","2","4","NYY"
"172","4","3","WSN"
"173","4","1","WSN"
"174","2","4","NYY"
"175","3","4","NYY"
"176","4","3","WSN"
"177","1","4","NYY"
"178","1","4","NYY"
"179","3","4","NYY"
"180","4","1","WSN"
"181","4","3","WSN"
"182","4","0","WSN"
"183","4","2","WSN"
"184","1","4","NYY"
"185","4","3","WSN"
"186","4","3","WSN"
"187","4","2","WSN"
"188","4","2","WSN"
"189","3","4","NYY"
"190","3","4","NYY"
"191","2","4","NYY"
"192","2","4","NYY"
"193","4","1","WSN"
"194","2","4","NYY"
"195","4","3","WSN"
"196","4","2","WSN"
"197","0","4","NYY"
"198","3","4","NYY"
"199","3","4","NYY"
"200","1","4","NYY"
"201","4","1","WSN"
"202","4","0","WSN"
"203","2","4","NYY"
"204","3","4","NYY"
"205","3","4","NYY"
"206","3","4","NYY"
"207","3","4","NYY"
"208","4","2","WSN"
"209","0","4","NYY"
"210","4","2","WSN"
"211","3","4","NYY"
"212","1","4","NYY"
"213","4","1","WSN"
"214","4","0","WSN"
"215","1","4","NYY"
"216","1","4","NYY"
"217","4","3","WSN"
"218","4","1","WSN"
"219","1","4","NYY"
"220","4","0","WSN"
"221","3","4","NYY"
"222","4","1","WSN"
"223","3","4","NYY"
"224","4","2","WSN"
"225","4","1","WSN"
"226","4","3","WSN"
"227","1","4","NYY"
"228","3","4","NYY"
"229","4","3","WSN"
"230","4","2","WSN"
"231","4","2","WSN"
"232","3","4","NYY"
"233","4","3","WSN"
"234","2","4","NYY"
"235","0","4","NYY"
"236","1","4","NYY"
"237","4","2","WSN"
"238","4","0","WSN"
"239","4","1","WSN"
"240","4","2","WSN"
"241","4","3","WSN"
"242","3","4","NYY"
"243","3","4","NYY"
"244","4","3","WSN"
"245","2","4","NYY"
"246","2","4","NYY"
"247","2","4","NYY"
"248","4","1","WSN"
"249","4","1","WSN"
"250","4","2","WSN"
"251","1","4","NYY"
"252","4","2","WSN"
"253","3","4","NYY"
"254","4","2","WSN"
"255","2","4","NYY"
"256","4","3","WSN"
"257","4","0","WSN"
"258","3","4","NYY"
"259","4","2","WSN"
"260","4","0","WSN"
"261","1","4","NYY"
"262","4","2","WSN"
"263","1","4","NYY"
"264","4","3","WSN"
"265","4","1","WSN"
"266","4","3","WSN"
"267","4","0","WSN"
"268","3","4","NYY"
"269","4","2","WSN"
"270","4","1","WSN"
"271","4","1","WSN"
"272","2","4","NYY"
"273","4","2","WSN"
"274","4","3","WSN"
"275","0","4","NYY"
"276","3","4","NYY"
"277","0","4","NYY"
"278","4","2","WSN"
"279","2","4","NYY"
"280","3","4","NYY"
"281","4","1","WSN"
"282","4","2","WSN"
"283","4","3","WSN"
"284","2","4","NYY"
"285","2","4","NYY"
"286","4","1","WSN"
"287","4","3","WSN"
"288","0","4","NYY"
"289","2","4","NYY"
"290","4","3","WSN"
"291","4","3","WSN"
"292","4","3","WSN"
"293","1","4","NYY"
"294","4","2","WSN"
"295","4","1","WSN"
"296","1","4","NYY"
"297","1","4","NYY"
"298","4","1","WSN"
"299","1","4","NYY"
"300","4","0","WSN"
"301","4","1","WSN"
"302","4","1","WSN"
"303","2","4","NYY"
"304","2","4","NYY"
"305","1","4","NYY"
"306","3","4","NYY"
"307","4","0","WSN"
"308","2","4","NYY"
"309","1","4","NYY"
"310","4","2","WSN"
"311","4","2","WSN"
"312","4","1","WSN"
"313","4","2","WSN"
"314","4","3","WSN"
"315","4","2","WSN"
"316","4","2","WSN"
"317","4","1","WSN"
"318","4","2","WSN"
"319","3","4","NYY"
"320","4","1","WSN"
"321","4","2","WSN"
"322","4","3","WSN"
"323","4","1","WSN"
"324","1","4","NYY"
"325","3","4","NYY"
"326","4","1","WSN"
"327","4","3","WSN"
"328","0","4","NYY"
"329","1","4","NYY"
"330","4","2","WSN"
"331","2","4","NYY"
"332","0","4","NYY"
"333","4","3","WSN"
"334","4","3","WSN"
"335","1","4","NYY"
"336","3","4","NYY"
"337","3","4","NYY"
"338","4","2","WSN"
"339","4","2","WSN"
"340","2","4","NYY"
"341","2","4","NYY"
"342","4","1","WSN"
"343","4","2","WSN"
"344","4","2","WSN"
"345","4","0","WSN"
"346","2","4","NYY"
"347","0","4","NYY"
"348","2","4","NYY"
"349","1","4","NYY"
"350","4","3","WSN"
"351","4","2","WSN"
"352","4","3","WSN"
"353","4","2","WSN"
"354","4","0","WSN"
"355","4","3","WSN"
"356","4","2","WSN"
"357","4","2","WSN"
"358","1","4","NYY"
"359","4","1","WSN"
"360","4","2","WSN"
"361","4","2","WSN"
"362","4","1","WSN"
"363","1","4","NYY"
"364","4","3","WSN"
"365","4","2","WSN"
"366","3","4","NYY"
"367","4","2","WSN"
"368","3","4","NYY"
"369","3","4","NYY"
"370","2","4","NYY"
"371","3","4","NYY"
"372","3","4","NYY"
"373","4","1","WSN"
"374","3","4","NYY"
"375","4","2","WSN"
"376","2","4","NYY"
"377","1","4","NYY"
"378","4","3","WSN"
"379","4","2","WSN"
"380","4","1","WSN"
"381","4","1","WSN"
"382","4","1","WSN"
"383","4","2","WSN"
"384","1","4","NYY"
"385","2","4","NYY"
"386","4","2","WSN"
"387","2","4","NYY"
"388","2","4","NYY"
"389","4","0","WSN"
"390","3","4","NYY"
"391","1","4","NYY"
"392","1","4","NYY"
"393","4","2","WSN"
"394","4","1","WSN"
"395","4","1","WSN"
"396","3","4","NYY"
"397","4","2","WSN"
"398","4","2","WSN"
"399","2","4","NYY"
"400","1","4","NYY"
"401","4","2","WSN"
"402","4","2","WSN"
"403","4","3","WSN"
"404","3","4","NYY"
"405","4","1","WSN"
"406","4","2","WSN"
"407","1","4","NYY"
"408","4","1","WSN"
"409","4","2","WSN"
"410","3","4","NYY"
"411","1","4","NYY"
"412","1","4","NYY"
"413","4","2","WSN"
"414","4","2","WSN"
"415","1","4","NYY"
"416","1","4","NYY"
"417","3","4","NYY"
"418","2","4","NYY"
"419","2","4","NYY"
"420","2","4","NYY"
"421","4","2","WSN"
"422","3","4","NYY"
"423","1","4","NYY"
"424","4","2","WSN"
"425","4","2","WSN"
"426","1","4","NYY"
"427","3","4","NYY"
"428","1","4","NYY"
"429","3","4","NYY"
"430","4","3","WSN"
"431","3","4","NYY"
"432","4","3","WSN"
"433","1","4","NYY"
"434","4","0","WSN"
"435","4","2","WSN"
"436","4","2","WSN"
"437","0","4","NYY"
"438","3","4","NYY"
"439","2","4","NYY"
"440","4","1","WSN"
"441","3","4","NYY"
"442","4","2","WSN"
"443","4","3","WSN"
"444","3","4","NYY"
"445","0","4","NYY"
"446","1","4","NYY"
"447","3","4","NYY"
"448","3","4","NYY"
"449","4","2","WSN"
"450","2","4","NYY"
"451","4","3","WSN"
"452","3","4","NYY"
"453","3","4","NYY"
"454","1","4","NYY"
"455","3","4","NYY"
"456","4","2","WSN"
"457","4","2","WSN"
"458","4","1","WSN"
"459","1","4","NYY"
"460","3","4","NYY"
"461","4","0","WSN"
"462","0","4","NYY"
"463","4","1","WSN"
"464","4","3","WSN"
"465","1","4","NYY"
"466","2","4","NYY"
"467","4","2","WSN"
"468","4","3","WSN"
"469","4","3","WSN"
"470","3","4","NYY"
"471","1","4","NYY"
"472","4","3","WSN"
"473","1","4","NYY"
"474","4","0","WSN"
"475","4","0","WSN"
"476","4","3","WSN"
"477","3","4","NYY"
"478","4","0","WSN"
"479","4","3","WSN"
"480","1","4","NYY"
"481","4","2","WSN"
"482","4","0","WSN"
"483","4","3","WSN"
"484","4","1","WSN"
"485","4","3","WSN"
"486","4","3","WSN"
"487","2","4","NYY"
"488","4","2","WSN"
"489","4","1","WSN"
"490","4","1","WSN"
"491","4","3","WSN"
"492","4","1","WSN"
"493","4","2","WSN"
"494","4","3","WSN"
"495","4","3","WSN"
"496","2","4","NYY"
"497","2","4","NYY"
"498","4","3","WSN"
"499","4","0","WSN"
"500","4","3","WSN"
"501","3","4","NYY"
"502","3","4","NYY"
"503","3","4","NYY"
"504","3","4","NYY"
"505","4","3","WSN"
"506","0","4","NYY"
"507","4","3","WSN"
"508","4","2","WSN"
"509","4","2","WSN"
"510","4","2","WSN"
"511","0","4","NYY"
"512","4","1","WSN"
"513","4","1","WSN"
"514","4","3","WSN"
"515","4","0","WSN"
"516","3","4","NYY"
"517","3","4","NYY"
"518","4","3","WSN"
"519","4","3","WSN"
"520","1","4","NYY"
"521","4","0","WSN"
"522","3","4","NYY"
"523","3","4","NYY"
"524","4","1","WSN"
"525","4","1","WSN"
"526","4","0","WSN"
"527","2","4","NYY"
"528","2","4","NYY"
"529","4","1","WSN"
"530","4","1","WSN"
"531","1","4","NYY"
"532","4","2","WSN"
"533","4","2","WSN"
"534","4","1","WSN"
"535","1","4","NYY"
"536","4","2","WSN"
"537","3","4","NYY"
"538","4","3","WSN"
"539","0","4","NYY"
"540","1","4","NYY"
"541","1","4","NYY"
"542","2","4","NYY"
"543","4","1","WSN"
"544","4","1","WSN"
"545","4","0","WSN"
"546","4","2","WSN"
"547","1","4","NYY"
"548","4","3","WSN"
"549","4","3","WSN"
"550","4","2","WSN"
"551","4","2","WSN"
"552","4","2","WSN"
"553","4","0","WSN"
"554","2","4","NYY"
"555","0","4","NYY"
"556","4","2","WSN"
"557","4","3","WSN"
"558","0","4","NYY"
"559","4","2","WSN"
"560","3","4","NYY"
"561","3","4","NYY"
"562","4","1","WSN"
"563","4","2","WSN"
"564","4","1","WSN"
"565","3","4","NYY"
"566","4","3","WSN"
"567","4","0","WSN"
"568","3","4","NYY"
"569","4","0","WSN"
"570","4","1","WSN"
"571","4","1","WSN"
"572","3","4","NYY"
"573","2","4","NYY"
"574","4","1","WSN"
"575","3","4","NYY"
"576","0","4","NYY"
"577","4","3","WSN"
"578","4","3","WSN"
"579","4","1","WSN"
"580","4","1","WSN"
"581","0","4","NYY"
"582","1","4","NYY"
"583","4","3","WSN"
"584","2","4","NYY"
"585","4","2","WSN"
"586","4","2","WSN"
"587","4","3","WSN"
"588","4","2","WSN"
"589","4","2","WSN"
"590","4","2","WSN"
"591","2","4","NYY"
"592","4","3","WSN"
"593","4","3","WSN"
"594","4","2","WSN"
"595","4","3","WSN"
"596","4","0","WSN"
