"","LAD","HOU","Champion"
"1","4","1","LAD"
"2","4","1","LAD"
"3","2","4","HOU"
"4","3","4","HOU"
"5","4","2","LAD"
"6","4","3","LAD"
"7","3","4","HOU"
"8","0","4","HOU"
"9","4","1","LAD"
"10","0","4","HOU"
"11","0","4","HOU"
"12","3","4","HOU"
"13","4","1","LAD"
"14","4","1","LAD"
"15","4","0","LAD"
"16","1","4","HOU"
"17","1","4","HOU"
"18","4","2","LAD"
"19","2","4","HOU"
"20","4","3","LAD"
"21","3","4","HOU"
"22","1","4","HOU"
"23","4","2","LAD"
"24","3","4","HOU"
"25","2","4","HOU"
"26","4","1","LAD"
"27","4","1","LAD"
"28","3","4","HOU"
"29","3","4","HOU"
"30","4","1","LAD"
"31","3","4","HOU"
"32","3","4","HOU"
"33","4","2","LAD"
"34","0","4","HOU"
"35","4","1","LAD"
"36","3","4","HOU"
"37","4","1","LAD"
"38","2","4","HOU"
"39","3","4","HOU"
"40","3","4","HOU"
"41","3","4","HOU"
"42","3","4","HOU"
"43","4","2","LAD"
"44","3","4","HOU"
"45","4","3","LAD"
"46","4","2","LAD"
"47","1","4","HOU"
"48","4","1","LAD"
"49","4","2","LAD"
"50","3","4","HOU"
"51","4","1","LAD"
"52","4","2","LAD"
"53","4","0","LAD"
"54","4","1","LAD"
"55","2","4","HOU"
"56","4","1","LAD"
"57","4","3","LAD"
"58","2","4","HOU"
"59","4","3","LAD"
"60","4","2","LAD"
"61","2","4","HOU"
"62","4","0","LAD"
"63","3","4","HOU"
"64","4","2","LAD"
"65","2","4","HOU"
"66","4","0","LAD"
"67","1","4","HOU"
"68","4","2","LAD"
"69","4","3","LAD"
"70","4","2","LAD"
"71","4","2","LAD"
"72","3","4","HOU"
"73","3","4","HOU"
"74","4","2","LAD"
"75","0","4","HOU"
"76","2","4","HOU"
"77","4","1","LAD"
"78","2","4","HOU"
"79","0","4","HOU"
"80","4","1","LAD"
"81","0","4","HOU"
"82","0","4","HOU"
"83","2","4","HOU"
"84","3","4","HOU"
"85","4","1","LAD"
"86","4","3","LAD"
"87","0","4","HOU"
"88","4","2","LAD"
"89","4","3","LAD"
"90","4","1","LAD"
"91","4","0","LAD"
"92","4","2","LAD"
"93","4","3","LAD"
"94","3","4","HOU"
"95","4","2","LAD"
"96","4","1","LAD"
"97","4","3","LAD"
"98","3","4","HOU"
"99","4","1","LAD"
"100","2","4","HOU"
"101","2","4","HOU"
"102","3","4","HOU"
"103","0","4","HOU"
"104","2","4","HOU"
"105","3","4","HOU"
"106","0","4","HOU"
"107","2","4","HOU"
"108","4","2","LAD"
"109","3","4","HOU"
"110","4","2","LAD"
"111","4","3","LAD"
"112","1","4","HOU"
"113","3","4","HOU"
"114","4","1","LAD"
"115","3","4","HOU"
"116","4","1","LAD"
"117","4","1","LAD"
"118","3","4","HOU"
"119","2","4","HOU"
"120","4","0","LAD"
"121","4","1","LAD"
"122","4","1","LAD"
"123","4","3","LAD"
"124","1","4","HOU"
"125","0","4","HOU"
"126","4","1","LAD"
"127","4","1","LAD"
"128","4","0","LAD"
"129","4","0","LAD"
"130","4","3","LAD"
"131","4","2","LAD"
"132","4","2","LAD"
"133","1","4","HOU"
"134","3","4","HOU"
"135","3","4","HOU"
"136","4","2","LAD"
"137","4","3","LAD"
"138","0","4","HOU"
"139","4","0","LAD"
"140","3","4","HOU"
"141","4","3","LAD"
"142","4","1","LAD"
"143","3","4","HOU"
"144","3","4","HOU"
"145","2","4","HOU"
"146","4","2","LAD"
"147","4","2","LAD"
"148","4","1","LAD"
"149","3","4","HOU"
"150","1","4","HOU"
"151","1","4","HOU"
"152","4","3","LAD"
"153","2","4","HOU"
"154","3","4","HOU"
"155","3","4","HOU"
"156","4","1","LAD"
"157","4","1","LAD"
"158","3","4","HOU"
"159","4","3","LAD"
"160","1","4","HOU"
"161","3","4","HOU"
"162","4","3","LAD"
"163","4","1","LAD"
"164","1","4","HOU"
"165","4","3","LAD"
"166","1","4","HOU"
"167","4","3","LAD"
"168","1","4","HOU"
"169","0","4","HOU"
"170","1","4","HOU"
"171","4","1","LAD"
"172","2","4","HOU"
"173","3","4","HOU"
"174","3","4","HOU"
"175","4","2","LAD"
"176","4","3","LAD"
"177","4","3","LAD"
"178","3","4","HOU"
"179","3","4","HOU"
"180","4","2","LAD"
"181","3","4","HOU"
"182","4","0","LAD"
"183","2","4","HOU"
"184","4","2","LAD"
"185","2","4","HOU"
"186","4","2","LAD"
"187","4","1","LAD"
"188","4","1","LAD"
"189","3","4","HOU"
"190","1","4","HOU"
"191","4","1","LAD"
"192","3","4","HOU"
"193","3","4","HOU"
"194","1","4","HOU"
"195","2","4","HOU"
"196","4","3","LAD"
"197","3","4","HOU"
"198","4","1","LAD"
"199","4","1","LAD"
"200","4","1","LAD"
"201","3","4","HOU"
"202","4","0","LAD"
"203","4","0","LAD"
"204","2","4","HOU"
"205","4","3","LAD"
"206","3","4","HOU"
"207","4","2","LAD"
"208","2","4","HOU"
"209","4","1","LAD"
"210","4","3","LAD"
"211","4","2","LAD"
"212","4","2","LAD"
"213","2","4","HOU"
"214","3","4","HOU"
"215","4","0","LAD"
"216","4","2","LAD"
"217","4","2","LAD"
"218","3","4","HOU"
"219","1","4","HOU"
"220","4","2","LAD"
"221","3","4","HOU"
"222","4","0","LAD"
"223","3","4","HOU"
"224","4","3","LAD"
"225","4","1","LAD"
"226","0","4","HOU"
"227","4","1","LAD"
"228","0","4","HOU"
"229","4","1","LAD"
"230","2","4","HOU"
"231","3","4","HOU"
"232","4","2","LAD"
"233","3","4","HOU"
"234","4","1","LAD"
"235","3","4","HOU"
"236","4","1","LAD"
"237","3","4","HOU"
"238","4","2","LAD"
"239","4","1","LAD"
"240","3","4","HOU"
"241","4","3","LAD"
"242","4","1","LAD"
"243","1","4","HOU"
"244","4","3","LAD"
"245","3","4","HOU"
"246","4","1","LAD"
"247","2","4","HOU"
"248","3","4","HOU"
"249","4","0","LAD"
"250","1","4","HOU"
"251","4","2","LAD"
"252","3","4","HOU"
"253","3","4","HOU"
"254","4","1","LAD"
"255","4","0","LAD"
"256","2","4","HOU"
"257","4","2","LAD"
"258","1","4","HOU"
"259","4","3","LAD"
"260","4","2","LAD"
"261","1","4","HOU"
"262","2","4","HOU"
"263","4","1","LAD"
"264","4","1","LAD"
"265","4","1","LAD"
"266","4","0","LAD"
"267","4","3","LAD"
"268","2","4","HOU"
"269","3","4","HOU"
"270","3","4","HOU"
"271","4","3","LAD"
"272","4","3","LAD"
"273","4","3","LAD"
"274","0","4","HOU"
"275","4","3","LAD"
"276","4","2","LAD"
"277","4","3","LAD"
"278","4","0","LAD"
"279","4","1","LAD"
"280","4","3","LAD"
"281","2","4","HOU"
"282","3","4","HOU"
"283","0","4","HOU"
"284","0","4","HOU"
"285","4","2","LAD"
"286","3","4","HOU"
"287","0","4","HOU"
"288","4","1","LAD"
"289","4","3","LAD"
"290","2","4","HOU"
"291","4","2","LAD"
"292","4","3","LAD"
"293","4","3","LAD"
"294","0","4","HOU"
"295","4","1","LAD"
"296","4","2","LAD"
"297","4","2","LAD"
"298","3","4","HOU"
"299","4","3","LAD"
"300","2","4","HOU"
"301","3","4","HOU"
"302","1","4","HOU"
"303","4","3","LAD"
"304","4","2","LAD"
"305","2","4","HOU"
"306","2","4","HOU"
"307","2","4","HOU"
"308","2","4","HOU"
"309","4","3","LAD"
"310","3","4","HOU"
"311","4","2","LAD"
"312","4","1","LAD"
"313","2","4","HOU"
"314","4","2","LAD"
"315","4","3","LAD"
"316","4","2","LAD"
"317","4","3","LAD"
"318","4","0","LAD"
"319","3","4","HOU"
"320","2","4","HOU"
"321","1","4","HOU"
"322","4","3","LAD"
"323","4","2","LAD"
"324","4","1","LAD"
"325","4","2","LAD"
"326","4","2","LAD"
"327","1","4","HOU"
"328","4","1","LAD"
"329","4","2","LAD"
"330","3","4","HOU"
"331","2","4","HOU"
"332","4","2","LAD"
"333","3","4","HOU"
"334","4","1","LAD"
"335","4","3","LAD"
"336","4","2","LAD"
"337","1","4","HOU"
"338","3","4","HOU"
"339","3","4","HOU"
"340","3","4","HOU"
"341","4","3","LAD"
"342","4","2","LAD"
"343","4","1","LAD"
"344","4","1","LAD"
"345","4","0","LAD"
"346","4","3","LAD"
"347","4","2","LAD"
"348","3","4","HOU"
"349","2","4","HOU"
"350","4","2","LAD"
"351","4","1","LAD"
"352","0","4","HOU"
"353","4","1","LAD"
"354","4","1","LAD"
"355","3","4","HOU"
"356","3","4","HOU"
"357","3","4","HOU"
"358","4","1","LAD"
"359","4","0","LAD"
"360","3","4","HOU"
"361","1","4","HOU"
"362","4","2","LAD"
"363","4","2","LAD"
"364","4","3","LAD"
"365","4","2","LAD"
"366","0","4","HOU"
"367","4","1","LAD"
"368","4","0","LAD"
"369","3","4","HOU"
"370","3","4","HOU"
"371","4","3","LAD"
"372","4","3","LAD"
"373","3","4","HOU"
"374","1","4","HOU"
"375","2","4","HOU"
"376","4","3","LAD"
"377","4","1","LAD"
"378","4","1","LAD"
"379","3","4","HOU"
"380","3","4","HOU"
"381","4","1","LAD"
"382","2","4","HOU"
"383","3","4","HOU"
"384","4","2","LAD"
"385","2","4","HOU"
"386","4","1","LAD"
"387","2","4","HOU"
"388","2","4","HOU"
"389","4","3","LAD"
"390","2","4","HOU"
"391","4","1","LAD"
"392","3","4","HOU"
"393","4","3","LAD"
"394","3","4","HOU"
"395","4","0","LAD"
"396","4","3","LAD"
"397","4","2","LAD"
"398","1","4","HOU"
"399","4","2","LAD"
"400","1","4","HOU"
"401","3","4","HOU"
"402","4","0","LAD"
"403","4","1","LAD"
"404","3","4","HOU"
"405","4","2","LAD"
"406","2","4","HOU"
"407","4","2","LAD"
"408","4","2","LAD"
"409","1","4","HOU"
"410","4","2","LAD"
"411","4","2","LAD"
"412","4","1","LAD"
"413","1","4","HOU"
"414","2","4","HOU"
"415","3","4","HOU"
"416","1","4","HOU"
"417","1","4","HOU"
"418","4","2","LAD"
"419","4","0","LAD"
"420","3","4","HOU"
"421","4","3","LAD"
"422","4","2","LAD"
"423","4","2","LAD"
"424","4","1","LAD"
"425","1","4","HOU"
"426","3","4","HOU"
"427","0","4","HOU"
"428","2","4","HOU"
"429","4","2","LAD"
"430","4","2","LAD"
"431","4","3","LAD"
"432","4","0","LAD"
"433","4","2","LAD"
"434","4","0","LAD"
"435","0","4","HOU"
"436","4","3","LAD"
"437","4","2","LAD"
"438","2","4","HOU"
"439","1","4","HOU"
"440","3","4","HOU"
"441","4","3","LAD"
"442","4","2","LAD"
"443","4","1","LAD"
"444","4","2","LAD"
"445","1","4","HOU"
"446","3","4","HOU"
"447","4","1","LAD"
"448","4","2","LAD"
"449","4","2","LAD"
"450","4","2","LAD"
"451","4","1","LAD"
"452","3","4","HOU"
"453","2","4","HOU"
"454","1","4","HOU"
"455","2","4","HOU"
"456","4","1","LAD"
"457","4","2","LAD"
"458","4","1","LAD"
"459","4","3","LAD"
"460","0","4","HOU"
"461","4","0","LAD"
"462","4","0","LAD"
"463","4","1","LAD"
"464","3","4","HOU"
"465","4","0","LAD"
"466","4","2","LAD"
"467","4","1","LAD"
"468","4","2","LAD"
"469","4","1","LAD"
"470","4","1","LAD"
"471","2","4","HOU"
"472","3","4","HOU"
"473","3","4","HOU"
"474","2","4","HOU"
"475","0","4","HOU"
"476","1","4","HOU"
"477","4","3","LAD"
"478","2","4","HOU"
"479","4","1","LAD"
"480","3","4","HOU"
"481","4","1","LAD"
"482","0","4","HOU"
"483","3","4","HOU"
"484","3","4","HOU"
"485","4","1","LAD"
"486","4","3","LAD"
"487","1","4","HOU"
"488","4","1","LAD"
"489","2","4","HOU"
"490","3","4","HOU"
"491","3","4","HOU"
"492","2","4","HOU"
"493","2","4","HOU"
"494","1","4","HOU"
"495","1","4","HOU"
"496","4","1","LAD"
"497","3","4","HOU"
"498","3","4","HOU"
"499","3","4","HOU"
"500","1","4","HOU"
"501","4","0","LAD"
"502","4","3","LAD"
"503","3","4","HOU"
"504","4","2","LAD"
"505","3","4","HOU"
"506","0","4","HOU"
"507","0","4","HOU"
"508","3","4","HOU"
"509","3","4","HOU"
"510","4","3","LAD"
"511","1","4","HOU"
"512","1","4","HOU"
"513","3","4","HOU"
"514","4","2","LAD"
"515","2","4","HOU"
"516","4","3","LAD"
"517","4","1","LAD"
"518","4","2","LAD"
"519","4","2","LAD"
"520","4","3","LAD"
"521","4","0","LAD"
"522","2","4","HOU"
"523","4","0","LAD"
"524","4","3","LAD"
"525","4","2","LAD"
"526","4","0","LAD"
"527","2","4","HOU"
"528","4","1","LAD"
"529","4","0","LAD"
"530","2","4","HOU"
"531","4","2","LAD"
"532","2","4","HOU"
"533","4","2","LAD"
"534","1","4","HOU"
"535","4","1","LAD"
"536","4","3","LAD"
"537","4","1","LAD"
"538","2","4","HOU"
"539","4","1","LAD"
"540","4","3","LAD"
"541","4","2","LAD"
"542","4","1","LAD"
"543","2","4","HOU"
"544","3","4","HOU"
"545","4","3","LAD"
"546","1","4","HOU"
"547","4","1","LAD"
"548","4","1","LAD"
"549","3","4","HOU"
"550","4","0","LAD"
"551","2","4","HOU"
"552","4","2","LAD"
"553","0","4","HOU"
"554","4","2","LAD"
"555","4","3","LAD"
"556","4","2","LAD"
"557","2","4","HOU"
"558","4","1","LAD"
"559","4","1","LAD"
"560","3","4","HOU"
"561","1","4","HOU"
"562","4","0","LAD"
"563","4","2","LAD"
"564","4","0","LAD"
"565","4","1","LAD"
"566","2","4","HOU"
"567","3","4","HOU"
"568","2","4","HOU"
"569","4","1","LAD"
"570","4","1","LAD"
"571","2","4","HOU"
"572","4","0","LAD"
"573","4","2","LAD"
"574","4","3","LAD"
"575","2","4","HOU"
"576","4","0","LAD"
"577","1","4","HOU"
"578","4","0","LAD"
"579","3","4","HOU"
"580","4","3","LAD"
"581","4","0","LAD"
"582","3","4","HOU"
"583","3","4","HOU"
"584","4","1","LAD"
"585","4","2","LAD"
"586","4","0","LAD"
"587","3","4","HOU"
"588","4","1","LAD"
"589","2","4","HOU"
"590","3","4","HOU"
"591","4","1","LAD"
"592","4","3","LAD"
"593","3","4","HOU"
"594","4","1","LAD"
"595","2","4","HOU"
"596","2","4","HOU"
"597","4","3","LAD"
"598","2","4","HOU"
"599","2","4","HOU"
"600","4","2","LAD"
"601","2","4","HOU"
"602","1","4","HOU"
"603","0","4","HOU"
"604","3","4","HOU"
"605","3","4","HOU"
"606","4","3","LAD"
"607","3","4","HOU"
"608","4","2","LAD"
"609","2","4","HOU"
"610","4","2","LAD"
"611","4","1","LAD"
"612","4","1","LAD"
"613","4","3","LAD"
"614","3","4","HOU"
"615","2","4","HOU"
"616","4","0","LAD"
"617","3","4","HOU"
"618","2","4","HOU"
"619","3","4","HOU"
"620","4","3","LAD"
"621","2","4","HOU"
"622","1","4","HOU"
"623","2","4","HOU"
"624","4","1","LAD"
"625","4","2","LAD"
"626","3","4","HOU"
"627","4","2","LAD"
"628","4","1","LAD"
"629","4","1","LAD"
"630","4","1","LAD"
"631","4","2","LAD"
"632","4","3","LAD"
"633","0","4","HOU"
"634","3","4","HOU"
"635","4","3","LAD"
"636","4","2","LAD"
"637","2","4","HOU"
"638","4","1","LAD"
"639","4","1","LAD"
"640","4","3","LAD"
"641","4","2","LAD"
"642","3","4","HOU"
"643","1","4","HOU"
