"","LAD","NYY","Champion"
"1","3","4","NYY"
"2","2","4","NYY"
"3","4","3","LAD"
"4","3","4","NYY"
"5","4","1","LAD"
"6","1","4","NYY"
"7","4","2","LAD"
"8","4","2","LAD"
"9","4","1","LAD"
"10","4","3","LAD"
"11","4","1","LAD"
"12","4","0","LAD"
"13","4","0","LAD"
"14","4","1","LAD"
"15","3","4","NYY"
"16","4","1","LAD"
"17","4","0","LAD"
"18","2","4","NYY"
"19","4","3","LAD"
"20","4","1","LAD"
"21","2","4","NYY"
"22","1","4","NYY"
"23","4","1","LAD"
"24","2","4","NYY"
"25","2","4","NYY"
"26","4","3","LAD"
"27","1","4","NYY"
"28","3","4","NYY"
"29","4","2","LAD"
"30","4","3","LAD"
"31","4","0","LAD"
"32","4","2","LAD"
"33","4","2","LAD"
"34","4","1","LAD"
"35","4","1","LAD"
"36","1","4","NYY"
"37","2","4","NYY"
"38","4","1","LAD"
"39","4","1","LAD"
"40","4","3","LAD"
"41","2","4","NYY"
"42","4","0","LAD"
"43","4","2","LAD"
"44","4","3","LAD"
"45","0","4","NYY"
"46","0","4","NYY"
"47","4","0","LAD"
"48","3","4","NYY"
"49","4","0","LAD"
"50","4","3","LAD"
"51","4","3","LAD"
"52","4","2","LAD"
"53","4","2","LAD"
"54","4","2","LAD"
"55","4","1","LAD"
"56","4","0","LAD"
"57","4","0","LAD"
"58","4","1","LAD"
"59","0","4","NYY"
"60","2","4","NYY"
"61","4","3","LAD"
"62","4","1","LAD"
"63","4","3","LAD"
"64","4","2","LAD"
"65","3","4","NYY"
"66","4","2","LAD"
"67","4","0","LAD"
"68","4","3","LAD"
"69","4","2","LAD"
"70","4","1","LAD"
"71","4","2","LAD"
"72","4","2","LAD"
"73","4","0","LAD"
"74","4","0","LAD"
"75","4","1","LAD"
"76","3","4","NYY"
"77","4","1","LAD"
"78","4","2","LAD"
"79","4","1","LAD"
"80","1","4","NYY"
"81","2","4","NYY"
"82","4","0","LAD"
"83","4","0","LAD"
"84","4","0","LAD"
"85","4","3","LAD"
"86","4","2","LAD"
"87","4","1","LAD"
"88","4","1","LAD"
"89","4","1","LAD"
"90","4","1","LAD"
"91","4","1","LAD"
"92","4","2","LAD"
"93","4","0","LAD"
"94","4","0","LAD"
"95","4","3","LAD"
"96","4","2","LAD"
"97","4","2","LAD"
"98","4","2","LAD"
"99","4","0","LAD"
"100","4","1","LAD"
"101","4","0","LAD"
"102","4","3","LAD"
"103","4","3","LAD"
"104","4","3","LAD"
"105","4","0","LAD"
"106","4","3","LAD"
"107","4","0","LAD"
"108","4","1","LAD"
"109","2","4","NYY"
"110","4","1","LAD"
"111","4","1","LAD"
"112","4","1","LAD"
"113","4","3","LAD"
"114","4","0","LAD"
"115","4","2","LAD"
"116","4","1","LAD"
"117","4","1","LAD"
"118","4","1","LAD"
"119","4","2","LAD"
"120","3","4","NYY"
"121","4","1","LAD"
"122","4","1","LAD"
"123","4","1","LAD"
"124","4","0","LAD"
"125","4","2","LAD"
"126","4","0","LAD"
"127","4","1","LAD"
"128","4","2","LAD"
"129","4","2","LAD"
"130","4","0","LAD"
"131","3","4","NYY"
"132","4","2","LAD"
"133","4","3","LAD"
"134","4","1","LAD"
"135","4","1","LAD"
"136","4","0","LAD"
"137","4","2","LAD"
"138","1","4","NYY"
"139","4","2","LAD"
"140","4","3","LAD"
"141","4","3","LAD"
"142","4","0","LAD"
"143","2","4","NYY"
"144","4","2","LAD"
"145","4","0","LAD"
"146","4","0","LAD"
"147","4","0","LAD"
"148","4","3","LAD"
"149","2","4","NYY"
"150","4","1","LAD"
"151","4","1","LAD"
"152","4","1","LAD"
"153","4","1","LAD"
"154","4","1","LAD"
"155","3","4","NYY"
"156","2","4","NYY"
"157","4","2","LAD"
"158","4","1","LAD"
"159","4","1","LAD"
"160","0","4","NYY"
"161","4","1","LAD"
"162","4","1","LAD"
"163","4","0","LAD"
"164","4","0","LAD"
"165","4","3","LAD"
"166","4","3","LAD"
"167","4","3","LAD"
"168","4","2","LAD"
"169","4","3","LAD"
"170","4","3","LAD"
"171","4","1","LAD"
"172","4","1","LAD"
"173","3","4","NYY"
"174","4","3","LAD"
"175","3","4","NYY"
"176","3","4","NYY"
"177","4","1","LAD"
"178","4","1","LAD"
"179","4","2","LAD"
"180","4","3","LAD"
"181","4","2","LAD"
"182","4","0","LAD"
"183","4","2","LAD"
"184","4","0","LAD"
"185","4","2","LAD"
"186","4","0","LAD"
"187","4","0","LAD"
"188","4","3","LAD"
"189","4","2","LAD"
"190","4","2","LAD"
"191","1","4","NYY"
"192","2","4","NYY"
"193","4","1","LAD"
"194","4","0","LAD"
"195","4","2","LAD"
"196","4","2","LAD"
"197","4","2","LAD"
"198","4","1","LAD"
"199","4","0","LAD"
"200","4","1","LAD"
"201","4","3","LAD"
"202","4","2","LAD"
"203","4","0","LAD"
"204","4","1","LAD"
"205","3","4","NYY"
"206","4","0","LAD"
"207","4","2","LAD"
"208","4","0","LAD"
"209","4","0","LAD"
"210","4","0","LAD"
"211","0","4","NYY"
"212","2","4","NYY"
"213","4","3","LAD"
"214","3","4","NYY"
"215","4","3","LAD"
"216","2","4","NYY"
"217","4","3","LAD"
"218","4","2","LAD"
"219","4","2","LAD"
"220","4","2","LAD"
"221","4","1","LAD"
"222","4","2","LAD"
"223","0","4","NYY"
"224","4","2","LAD"
"225","4","2","LAD"
"226","4","1","LAD"
"227","4","1","LAD"
"228","0","4","NYY"
"229","4","1","LAD"
"230","4","1","LAD"
"231","4","3","LAD"
"232","4","3","LAD"
"233","4","1","LAD"
"234","4","2","LAD"
"235","3","4","NYY"
"236","3","4","NYY"
"237","4","2","LAD"
"238","0","4","NYY"
"239","4","2","LAD"
"240","3","4","NYY"
"241","4","2","LAD"
"242","4","2","LAD"
"243","4","1","LAD"
"244","4","1","LAD"
"245","4","2","LAD"
"246","4","0","LAD"
"247","4","2","LAD"
"248","4","3","LAD"
"249","4","2","LAD"
"250","4","0","LAD"
"251","4","1","LAD"
"252","4","2","LAD"
"253","1","4","NYY"
"254","4","0","LAD"
"255","4","1","LAD"
"256","4","2","LAD"
"257","4","1","LAD"
"258","4","2","LAD"
"259","4","2","LAD"
"260","4","2","LAD"
"261","4","3","LAD"
"262","4","1","LAD"
"263","4","3","LAD"
"264","4","2","LAD"
"265","4","0","LAD"
"266","4","0","LAD"
"267","4","0","LAD"
"268","3","4","NYY"
"269","1","4","NYY"
"270","4","1","LAD"
"271","4","1","LAD"
"272","2","4","NYY"
"273","3","4","NYY"
"274","4","3","LAD"
"275","4","2","LAD"
"276","4","1","LAD"
"277","4","1","LAD"
"278","2","4","NYY"
"279","4","0","LAD"
"280","2","4","NYY"
"281","4","3","LAD"
"282","4","1","LAD"
"283","4","1","LAD"
"284","4","0","LAD"
"285","1","4","NYY"
"286","4","0","LAD"
"287","4","2","LAD"
"288","4","2","LAD"
"289","4","3","LAD"
"290","4","0","LAD"
"291","4","0","LAD"
"292","4","1","LAD"
"293","4","3","LAD"
"294","4","1","LAD"
